src,dst,weight
上用 みどり,奥田 将生,28
奥田 将生,後藤 奈美,15
上用 みどり,後藤 奈美,15
福田 央,韓 錦順,15
磯谷 敦子,神田 涼子,13
奥田 将生,橋爪 克己,13
奥田 将生,沼田 美子代,12
吉﨑 由美子,玉置 尚徳,12
木田 建次,森村 茂,12
二神 泰基,玉置 尚徳,12
瀬戸口 智子,神渡 巧,11
岩田 博,磯谷 敦子,11
玉置 尚徳,髙峯 和則,11
吉﨑 由美子,髙峯 和則,11
吉﨑 由美子,奥津 果優,10
伊藤 俊彦,岩野 君夫,10
山本 英樹,水谷 政美,10
岡崎 直人,石川 雄章,10
奥津 果優,玉置 尚徳,10
中沢 伸重,岩野 君夫,10
山田 修,福田 央,10
奥津 果優,髙峯 和則,10
山田 修,金井 宗良,10
山田 修,韓 錦順,10
中沢 伸重,伊藤 俊彦,10
山田 修,水谷 治,9
三上 重明,奥田 将生,9
奥田 将生,髙橋 圭,9
三上 重明,上用 みどり,9
三上 重明,後藤 奈美,9
上用 みどり,沼田 美子代,9
奥田 将生,福田 央,8
山本 英樹,高山 清子,8
水谷 政美,高山 清子,8
石川 雄章,稲橋 正明,8
水谷 治,金井 宗良,8
橋爪 克己,沼田 美子代,8
二神 泰基,吉﨑 由美子,8
二神 泰基,奥津 果優,8
伊豆 英恵,後藤 邦康,8
二神 泰基,髙峯 和則,8
岩野 君夫,高橋 仁,8
伊藤 俊彦,高橋 仁,8
神田 涼子,藤田 晃子,8
中沢 伸重,高橋 仁,8
上用 みどり,髙橋 圭,8
上用 みどり,福田 央,8
高峯 和則,鮫島 吉廣,8
岡崎 直人,稲橋 正明,8
米元 俊一,藤井 信,7
宇都宮 仁,磯谷 敦子,7
水谷 治,福田 央,7
小川 喜八郎,甲斐 孝憲,7
藤井 一嘉,谷本 昌太,7
磯谷 敦子,藤井 力,7
藤田 晃子,遠藤 路子,7
磯谷 敦子,藤田 晃子,7
福田 央,金井 宗良,7
包 紅彬,奥田 将生,7
佐々木 隆浩,齋藤 高弘,7
岩田 博,神田 涼子,7
岡本 竹己,齋藤 高弘,7
家藤 治幸,渡部 貴志,7
若井 芳則,藤原 久志,7
上用 みどり,包 紅彬,7
包 紅彬,髙橋 圭,7
藉原 昌司,齋藤 高弘,6
杉江 正美,藉原 昌司,6
岡崎 直人,木崎 康造,6
水谷 治,韓 錦順,6
伊藤 俊彦,佐藤 勉,6
山本 英樹,越智 洋,6
武藤 貴史,稲橋 正明,6
水谷 政美,越智 洋,6
園田 直,西 祐馬,6
武藤 貴史,石川 雄章,6
岡崎 直人,赤尾 健,6
瀬戸口 眞治,神渡 巧,6
竹迫 寿一,米元 俊一,6
大土井 律之,谷本 昌太,6
三宅 剛史,伊藤 一成,6
杉江 正美,齋藤 高弘,6
志賀 徹,杉江 正美,6
