keyword,count
nan,1204
酵母,977
清酒,810
the,602
ワイン,537
and,494
麹菌,479
ビール,478
味噌,478
日本酒,462
醤油,445
乳酸菌,442
昭和,368
遺伝子,352
香気成分,350
焼酎,338
官能評価,330
アミノ,321
発酵,319
活性,296
タンパク,276
醸造,265
清酒酵母,242
研究,232
日本,228
吟醸酒,225
添加,211
濃度,206
品種,206
酒質,198
生成,196
食品,195
白酒,194
酸度,193
微生物,191
oryzae,188
sake,185
Fig,185
酒類,182
原料,181
グルコース,181
rice,181
エチル,178
アミラーゼ,178
プロテアーゼ,177
分離,177
ブドウ,176
精米歩合,176
DNA,175
培地,173
熟成,173
was,172
酢酸,172
仕込,169
場合,165
麹,165
測定,163
機能性,159
成分,159
消費者,159
品質,155
白米,155
試料,154
平成,153
酵素活性,150
蒸米,148
原料米,148
中国,148
育種,146
生産,145
写真,145
Tabl,143
Aspergillus,142
酵素,141
製麹,140
食塩,140
山田錦,138
acid,138
エステル,137
発酵食品,136
貯蔵,134
有機酸,134
デンプン,133
使用,133
酒造好適米,131
ppm,129
酒母,129
含量,129
開発,126
ペプチド,125
変異株,125
泡盛,124
杜氏,124
増殖,123
アミノ酸,122
影響,122
ウイスキー,121
歴史,120
親株,118
乳酸,118
酒粕,116
cerevisiae,116
分析,116
清酒醸造,116
解析,116
商品,115
輸出,113
技術,112
蒸留,111
温度,111
純米酒,111
グルコアミラーゼ,111
菌株,107
市場,107
培養,107
精米,106
生育,106
発現,105
日目,103
増加,103
変化,102
食酢,101
蒸留酒,101
Saccharomyces,100
芋焼酎,99
黄酒,99
カプロン,96
健康,96
カビ,96
リンゴ,96
ホップ,96
バイオテクノロジー,95
分解,95
グルタミン,95
サンプル,95
Table,94
検出,94
飲酒,93
品質管理,93
香味,92
ポリフェノール,92
製造方法,92
処理,90
結果,89
タンク,89
料理,87
酢酸菌,87
ゲノム,86
yeast,85
検討,84
風味,84
苦味,83
メーカー,83
利用,83
HPLC,83
アメリカ,83
koji,82
サツマイモ,82
アルコール,82
摂取,82
製成酒,81
ラット,81
世界,80
100,80
醸協,80
大麦,79
アセトアルデヒド,79
醸造技術,78
化合物,77
明治,77
同定,77
相関,77
タイプ,76
大豆,76
水分,75
グループ,75
食文化,75
調味料,75
玄米,75
カプロン酸エチル,74
製品,74
000,74
本格焼酎,74
GABA,74
ガス,74
細菌,74
酸性,73
アントシアニン,73
酒造り,73
方法,73
火入,73
生成量,73
四川,72
工場,72
反応,72
耐性,72
諸味,72
品質向上,71
安全性,71
システム,71
センター,71
焼酎粕,70
マウス,70
酒米,69
脂肪酸,69
表示,69
審査,69
タンパク質,69
パン,69
ピーク,69
消化性,68
糸状菌,68
伝統,68
ヒト,68
フェノール,68
浸漬,67
トン,67
効果,67
生産量,67
脂質,67
協会,66
コレステロール,66
文化,66
旨味,66
Lactobacillus,65
日生,65
味覚,65
遊離,65
抗酸化性,64
麹歩合,64
レストラン,64
特許,63
吸水率,63
対照,63
報告,63
海外,63
機能,62
配列,62
PCR,62
米,62
物質,62
除去,61
抗酸化活性,61
色調,61
ストレス,61
麦芽,61
減少,61
画分,61
有意,61
生酒,60
イソアミル,60
栽培,60
調査,60
アルコール発酵,59
YPD,59
香気,59
酒造適性,59
蔵元,59
アミロペクチン,59
官能検査,59
染色体,59
フランス,59
価格,59
略歴,59
当社,58
閾値,58
品温,58
企業,58
日本酒度,58
データ,58
クエン,58
消費,58
品質評価,58
酵素剤,57
抑制,57
消費量,57
甘味,57
活性炭,57
グルコシダーゼ,57
国際化,57
アミロース,57
with,57
勤務先,57
黒麹菌,57
小仕込試験,56
糖化,56
イソフラボン,56
米麹,56
乳酸発酵,56
尿素,56
エタノール,56
機能性食品,56
古酒,56
shochu,56
strains,56
訳者注,56
識別,55
醸造特性,55
食塩濃度,55
min,55
趣味,55
成分分析,55
イオン,55
所在地,54
心白,54
スクリーニング,54
アルギニン,54
バイオリアクター,54
酸化,54
納豆,54
和食,54
味噌汁,53
麦焼酎,53
耐塩性,53
出来,53
育成,53
アフラトキシン,53
mash,53
装置,53
時間,53
焼酎酵母,53
必要,53
ビタミン,52
女性,52
カルシウム,52
ーー,52
ジアセチル,52
老香,52
五百万石,52
亜硫酸,52
菌体量,52
精製,51
醸造試験所,51
プラスミド,51
GC-MS,51
出品酒,51
作用,51
結合,51
酢酸イソアミル,51
着色度,51
抱負,51
導入,51
吸水性,51
HEMF,51
清酒中,51
容器,51
着色,51
塩味,51
全国新酒鑑評会,50
要旨,50
タンニン,50
存在,50
酒文化,50
Bacillus,50
分析法,50
甘藷焼酎,50
プロモーター,50
白麹菌,50
時代,50
地域,50
鑑評会,50
取得,49
澱粉,49
情報,49
イメージ,49
菌体,49
製造法,49
グルテリン,49
代謝,49
変異,49
日本人,49
酒,49
エキス,48
抽出,48
細胞壁,48
セルロース,48
麦汁,48
開催,48
細胞膜,48
発生,48
リンゴ酸,48
業界,48
飼料,48
エネルギー,48
年度,47
餅麹,47
アレルギー,47
中国白酒,47
低下,47
クラスター,47
輸入,47
cells,47
関係,47
火落菌,47
麦味噌,47
醪,47
酢酸発酵,47
原料処理,47
ラジカル,47
銘柄,46
色素,46
製造技術,46
酸味,46
高級アルコール,46
加熱,46
タイ,46
alcohol,46
講演,46
試験醸造,46
分類,46
マーケティング,45
リン,45
DMTS,45
ワイナリー,45
飲料,45
筆者,45
香り,45
イソアミルアルコール,45
ブランド,44
米味噌,44
平均値,44
バンド,44
moromi,44
ACE,44
醸造食品,44
選抜,44
糖類,43
fermentation,43
大曲,43
activity,43
吟醸香,43
香味成分,43
米焼酎,43
キシラナーゼ,43
洗米,43
清酒製造,43
製法,43
種麹,43
殺菌,43
観察,43
日本食,43
日本書紀,42
試験,42
発酵温度,42
並行複発酵,42
マルトース,42
魚醤油,42
キシロース,42
strain,42
酒造用原料米,42
米国,42
酵素力価,41
細胞内,41
フルフラール,41
固体培養,41
プロトプラスト,41
センサー,41
カリウム,41
グルタミナーゼ,41
血圧,41
醸造酵母,41
項目,41
制御,41
食事,41
区分,41
リキュール,41
吸着,40
耐性株,40
黄麹菌,40
醤油醸造,40
リパーゼ,40
嗜好,40
DPPH,40
ピルビン,40
減塩,40
韓国,40
植物,40
販売,40
単離,40
食品添加物,40
コロニー,40
耐塩性酵母,40
グリセロール,40
TCA,40
原酒,39
環境,39
遺伝子発現,39
天皇,39
rouxi,39
フェルラ,39
酒税法,39
高級,39
嗅覚,39
メチオニン,39
北海道,39
for,39
精度,39
菌糸,39
問題,38
セルラーゼ,38
アミノ酸度,38
プロセス,38
Ethyl,38
細胞融合,38
号酵母,38
cerevi,38
平均,38
有意差,38
日本酒業界,38
形成,38
グルタミン酸,38
実施,38
領域,38
塩分,38
分子量,38
基質,37
カルバミン酸エチル,37
wine,37
アジア,37
胞子,37
種類,37
ヨーロッパ,37
kDa,37
塩基配列,37
醤油麹,37
試験区,37
紹興酒,37
一般米,37
豆味噌,37
rouxii,37
大学,37
還元糖,37
NBRC,37
メラノイジン,37
実験,37
遺伝子組換,37
生菌数,37
製造場,37
含有量,37
were,36
主成分分析,36
白酒中,36
当時,36
ナトリウム,36
Sake,36
酒造業,36
設備,36
ブラジル,36
生産性,36
推定,36
世紀,36
学生,36
固定化,36
洗浄,36
リナロール,36
スターター,36
合成,36
食物繊維,36
構造,36
NaCl,36
溶解,36
コメ,36
ドイツ,36
ブランデー,36
地酒,36
阻害,36
米酒,36
イネ,36
medium,36
産地,35
甲州,35
α-アミラーゼ,35
醤油粕,35
老化,35
美味,35
パネル,35
TTC,35
バイオ,35
コスト,35
阻害活性,35
DSC,35
需要,35
精白米,35
スペクトル,35
抗酸化能,35
TBA,35
乾燥,35
ボーメ,35
醸造用酵母,35
性質,35
清酒醪,35
ソムリエ,35
リサイクル,35
知識,35
吸水,35
地下水,35
揮発性成分,35
キラー,35
汚染,35
発泡酒,35
ミトコンドリア,35
表現,35
地方,35
Lact,35
食品安全,35
ワイン酵母,34
バイオマス,34
コハク,34
water,34
Rhizopus,34
血中,34
酒類総合研究所,34
果実酒,34
特定名称酒,34
特徴,34
度数,34
炭酸,34
中国醸造雑誌,34
BOD,34
バクテリオシン,34
減圧蒸留,34
ヒスタミン,34
菌体内,34
千粒重,34
科学,34
ethyl,34
MLF,34
豆腐,33
伊藤,33
酸濃度,33
現在,33
味,33
野生酵母,33
Aspergi,33
アラニン,33
出芽酵母,33
クエン酸,33
研究開発,33
米粉,33
クローニング,33
紅麹菌,33
地理的表示,33
江戸時代,33
グルカン,33
サブユニット,33
ゲル,33
投与,33
pH,33
醸造学,33
食生活,33
醸造酢,33
フレーバー,33
オリ,32
定量,32
2009,32
発酵力,32
ウィスキー,32
アルデヒド,32
加水分解,32
黒糖焼酎,32
活動,32
溶液,32
官能試験,32
スピリッツ,32
液体培養,32
融合株,32
記録,32
融合,32
検量線,32
表面,32
耐酸性,32
プライマー,32
作業,32
compounds,32
試験研究,31
技術指導,31
content,31
山田,31
調製,31
ミネラル,31
応答,31
vol,31
吸光度,31
窒素源,31
実用化,31
排出,31
吸収,31
寄与,31
ratio,31
ethanol,31
キッコーマン,31
対照区,31
嗜好性,31
カラム,31
The,31
醸造微生物,31
potato,31
モロミ,31
イギリス,31
糖化力,30
億元,30
sweet,30
岩野,30
醸造酒,30
concentration,30
Chem,30
amino,30
味噌醸造,30
自分,30
分離株,30
2008,30
ppb,30
酒税,30
後藤,30
産生,30
白質,30
感覚,30
家庭,30
soj,30
炭素源,30
砕米,30
polishing,30
メチル,30
岡崎,30
酒屋,30
コード,30
多様性,30
溶出,30
アレルゲン,30
ダイアセチル,29
固定化酵母,29
農家,29
被験者,29
酸生成,29
冷却,29
酒造技術,29
カルボキシペプチダーゼ,29
lactis,29
参加,29
ペクチン,29
ビール醸造,29
貴州,29
佐藤,29
特性,29
アルコール濃度,29
酵素法,29
高血圧,29
分生子,29
味噌中,29
教育,29
高橋,29
小麦,29
空気,29
誘導,29
蒸気,29
多様化,29
硬度,29
健康機能,29
obaci,29
うま味,29
トウモロコシ,29
相関関係,29
傾向,29
enzyme,29
系統,29
発酵能,29
藤井,29
日本晴,29
パターン,29
製造工程,29
Brix,28
個性,28
小仕込,28
色度,28
前駆体,28
人材育成,28
納豆菌,28
判別,28
発展,28
ナイシン,28
相互作用,28
Microbiol,28
生成能,28
メイラード,28
メイラード反応,28
蓄積,28
発表,28
醤油中,28
蒸煮大豆,28
スパークリングワイン,28
酸素,28
砂糖,28
古事記,28
HACCP,28
ラベル,28
糯米,28
人々,28
遺伝子組換え,28
発酵性,28
事業,28
京都,28
東京,28
山本,28
ACPase,28
Zygosaccharomyces,28
生地,28
エチルアルコール,28
客様,28
酵素消化性,28
造成,27
経路,27
相関係数,27
Rhi,27
粕歩合,27
磯谷,27
モノテルペンアルコール,27
もろみ,27
麹室,27
レベル,27
死滅,27
method,27
メタノール,27
リアクター,27
生活習慣病,27
総米,27
言葉,27
niger,27
バニリン,27
バイオエタノール,27
アルカリ,27
水質,27
社会,27
グルタチオン,27
濾過,27
酪酸,27
酒造場,27
因子,27
生成機構,27
temperature,27
食塩水,27
grains,27
マスカット,27
水切,26
酒宴,26
公開,26
年産,26
台湾,26
褐変,26
活性化,26
シグナル,26
分子,26
生合成,26
酒販店,26
protein,26
システイン,26
コシヒカリ,26
大豆煮汁,26
人間,26
吟醸,26
サケ,26
乾杯,26
用語,26
大会,26
現地,26
商品開発,26
sakei,26
抗菌活性,26
流通,26
官能審査,26
マスト,26
遺伝子破壊株,26
ビン,26
豆乳,26
火入れ,26
甘酒,26
果皮,26
生理活性,26
カルバミン,26
米粒,26
ハワイ,26
確認,26
カドミウム,26
製麹工程,26
アルコール耐性,26
ロイシン,26
肝臓,26
仕事,26
オーストラリア,25
生物,25
判別分析,25
コハク酸,25
遊離アミノ酸,25
水分活性,25
トリプトファン,25
DMDS,25
吟醸麹,25
上用,25
グリセリン,25
awamori,25
普及,25
多糖類,25
小泉,25
2010,25
酵母菌,25
配糖体,25
本醸造酒,25
相性,25
コンピューター,25
シェア,25
ワイン醸造,25
応用,25
排水処理,25
調理,25
古代,25
アンケート,25
NMR,25
シャルドネ,25
フェルラ酸,25
subtilis,25
samples,25
抽出物,25
測定値,25
若者,25
渡辺,25
品評会,25
採用,25
PB-,25
会社,25
アルコール分,25
アル,25
精米機,25
発酵速度,25
審査員,25
組換,25
生貯蔵酒,25
低温,25
基質特異性,25
濃縮,25
規定,25
大正,24
プロジェクト,24
酒造年度,24
プラスチック,24
ソトロン,24
acetate,24
テスト,24
添加区,24
エチルエステル,24
指摘,24
2019,24
酒税法改正,24
ペプチダーゼ,24
発芽,24
本酵素,24
ブーム,24
自動化,24
気温,24
学会,24
動物,24
酵母数,24
添加量,24
単位,24
CFU,24
技術開発,24
衛生管理,24
形質転換,24
新酒,24
クラフトビール,24
水溶液,24
精米特性,24
抗酸化作用,24
発酵調味料,24
密度,24
研究所,24
推移,24
生存率,24
機能性成分,24
添加物,24
発酵経過,24
アロマ,24
気候,24
改正,24
副原料,24
技術者,24
Baci,24
従業員,24
主成分,24
有効利用,24
樽酒,24
水分含量,24
研究業績,24
地元,24
重量,24
農業,24
luchuensis,23
中沢,23
年間,23
力価,23
アンモニア,23
回収率,23
GC,23
全窒素,23
発酵技術,23
SAM,23
コントロール,23
フィチン,23
収穫,23
原材料,23
大腸菌,23
汲水歩合,23
品質特性,23
省力化,23
醸造用水,23
ベクター,23
mol,23
bacteria,23
石川,23
酒造米,23
糖分,23
フラボノイド,23
溶解性,23
steamed,23
計算,23
断片,23
末端,23
蔵人,23
発酵槽,23
ゴマ,23
アセトイン,23
urea,23
清酒麹,23
相同性,23
瓶詰,23
白米水分,23
国産,23
オフフレーバー,23
発現量,23
県内,23
品質劣化,23
食材,23
ゲノム解析,23
本醸造,23
蒸留廃液,23
作成,23
規格,23
モニタリング,23
凝集,23
関与,23
振動式密度計,23
リノール,23
遺伝子破壊,23
変換,23
日本文化,23
醤香型白酒,23
ヘテロ,23
体重,23
掛米,23
ACP,23
紅麹,23
醗酵,23
食育,23
調和,23
破精,22
プロバイオティクス,22
揮発成分,22
