src,dst,weight
清酒,酵母,119
nan,日本酒,116
the,清酒,112
sake,清酒,111
nan,清酒,108
sake,the,95
rice,the,89
and,the,84
fig,the,80
官能評価,清酒,74
日本,日本酒,72
nan,昭和,65
清酒酵母,酵母,64
ワイン,日本酒,63
and,sake,60
清酒,焼酎,58
and,清酒,57
アミノ,清酒,57
清酒,酒質,57
遺伝子,酵母,53
日本酒,輸出,53
日本酒,消費者,52
the,酵母,51
清酒,酸度,51
清酒,酒類,48
ビール,清酒,48
昭和,清酒,47
nan,酵母,47
tabl,the,47
吟醸酒,清酒,47
分離,酵母,47
発酵,酵母,46
nan,吟醸酒,46
the,官能評価,46
the,アミノ,46
白米,精米歩合,45
rice,白米,45
酵母,香気成分,45
酒母,酵母,45
清酒,香気成分,45
ppm,清酒,44
清酒,濃度,44
アミノ,酵母,44
白米,精米,44
nan,杜氏,43
酵母,酸度,43
fig,清酒,42
rice,sake,42
ビール,日本酒,42
アミノ,酸度,41
清酒,醸造,41
精米,精米歩合,41
原料米,清酒,41
rice,精米歩合,40
sake,官能評価,40
ワイン,日本,39
and,酵母,39
清酒,発酵,39
吟醸酒,日本酒,39
sake,tabl,39
sake,酵母,39
清酒,試料,38
日本酒,清酒,38
清酒,精米歩合,38
日本酒,昭和,38
清酒,麹菌,37
吟醸酒,純米酒,37
日本,輸出,37
酒質,酵母,37
平成,昭和,37
消費者,清酒,36
清酒,純米酒,36
日本酒,焼酎,36
清酒,白米,36
タンパク,清酒,36
酵母,麹菌,36
山田錦,酒造好適米,35
品種,山田錦,34
and,rice,34
rice,清酒,34
活性,酵母,34
the,酸度,33
清酒,測定,33
分離,清酒,33
タンパク,酵母,32
ppm,the,32
the,白米,32
tabl,清酒,32
the,精米歩合,32
the,濃度,32
吟醸酒,昭和,31
平成,清酒,31
吟醸酒,酒質,31
ワイン,清酒,31
仕込,清酒,31
rice,精米,31
遺伝子,麹菌,31
nan,醸造,31
日本,清酒,31
清酒,遺伝子,31
fig,rice,30
ビール,ワイン,30
and,fig,30
品種,酒造好適米,30
nan,消費者,30
タンパク,麹菌,30
nan,ワイン,30
the,試料,30
sake,酸度,29
酵母,醸造,29
昭和,杜氏,29
発酵,醸造,29
the,原料米,28
rice,tabl,28
清酒,清酒酵母,28
nan,麹菌,28
清酒酵母,遺伝子,27
sake,アミノ,27
nan,焼酎,27
日本酒,純米酒,26
the,発酵,26
吟醸酒,消費者,26
ビール,酒類,26
the,山田錦,26
nan,ビール,26
sake,試料,26
nan,酒質,25
ビール,焼酎,25
fig,sake,25
the,蒸米,25
原料米,精米歩合,25
活性,清酒,25
吟醸酒,精米歩合,25
仕込,酵母,25
nan,純米酒,25
清酒,清酒醸造,24
rice,山田錦,24
官能評価,香気成分,24
山田錦,精米歩合,24
sake,濃度,24
and,tabl,24
the,香気成分,24
清酒,酒造好適米,24
sake,清酒酵母,24
ワイン,輸出,24
タンパク,品種,24
ppm,sake,24
sake,日本酒,24
活性,麹菌,24
山田錦,清酒,24
rice,酒造好適米,23
the,精米,23
日本酒,酒質,23
精米歩合,酸度,23
the,活性,23
rice,原料米,23
ppm,酵母,23
rice,品種,22
日本酒,杜氏,22
酒母,酒質,22
原料米,白米,22
タンパク,酒造好適米,22
nan,日本,22
清酒醸造,酵母,22
清酒,酒母,22
酒母,酸度,22
清酒,蒸米,22
酒質,酸度,22
rice,蒸米,22
活性,遺伝子,22
タンパク,遺伝子,21
nan,発酵,21
the,測定,21
精米歩合,酵母,21
官能評価,酸度,21
濃度,酵母,21
清酒酵母,香気成分,21
原料米,酵母,21
吟醸酒,酵母,21
tabl,酸度,21
白米,酒造好適米,20
山田錦,蒸米,20
タンパク,山田錦,20
分離,清酒酵母,20
酸度,香気成分,20
the,清酒醸造,20
and,濃度,20
tabl,アミノ,20
吟醸酒,酸度,20
タンパク,活性,20
昭和,酵母,20
消費者,純米酒,20
蒸米,酵母,19
the,酒造好適米,19
酒造好適米,酵母,19
焼酎,酵母,19
精米歩合,酒造好適米,19
nan,精米歩合,19
ビール,日本,19
山田錦,酵母,19
測定,試料,19
官能評価,酵母,19
平成,日本酒,19
rice,発酵,19
the,酒質,19
sake,白米,19
and,白米,19
発酵,酒質,19
the,清酒酵母,19
清酒,精米,19
日本酒,酵母,18
アミノ,タンパク,18
山田錦,精米,18
and,発酵,18
nan,平成,18
原料米,山田錦,18
fig,試料,18
and,清酒酵母,18
アミノ,原料米,18
sake,分離,18
日本酒,酒類,18
日本,焼酎,18
日本酒,発酵,18
清酒酵母,発酵,18
tabl,官能評価,18
nan,アミノ,18
rice,試料,18
焼酎,輸出,18
タンパク,原料米,18
原料米,酒造好適米,17
and,官能評価,17
原料米,吟醸酒,17
純米酒,酒質,17
nan,sake,17
白米,蒸米,17
nan,酸度,17
原料米,酒質,17
杜氏,清酒,17
タンパク,精米歩合,17
吟醸酒,香気成分,17
清酒,輸出,17
昭和,酒質,17
and,アミノ,17
品種,精米歩合,17
ワイン,焼酎,17
消費者,酒質,16
仕込,酒母,16
日本,昭和,16
原料米,品種,16
焼酎,酒類,16
蒸米,酒質,16
酒類,酵母,16
酒質,香気成分,16
清酒酵母,酸度,16
nan,官能評価,16
nan,酒造好適米,16
原料米,精米,16
吟醸酒,杜氏,16
官能評価,酒質,16
昭和,消費者,16
タンパク,発酵,16
品種,清酒,15
品種,精米,15
ビール,酵母,15
the,分離,15
sake,原料米,15
白米,試料,15
nan,輸出,15
sake,仕込,15
焼酎,発酵,15
分離,香気成分,15
山田錦,麹菌,15
アミノ,蒸米,15
nan,酒母,15
消費者,酒類,15
発酵,酸度,15
精米歩合,試料,15
アミノ,麹菌,15
sake,香気成分,15
品種,酵母,15
アミノ,酒質,15
発酵,香気成分,15
rice,酸度,15
the,品種,15
and,分離,15
測定,白米,14
fig,アミノ,14
the,仕込,14
品種,清酒醸造,14
清酒醸造,精米歩合,14
rice,タンパク,14
日本,酒類,14
タンパク,精米,14
sake,発酵,14
and,測定,14
精米歩合,酒母,14
ppm,アミノ,14
and,ppm,14
清酒醸造,酒質,14
rice,アミノ,14
濃度,試料,14
アミノ,清酒酵母,14
ppm,官能評価,14
sake,酒質,14
tabl,酵母,14
nan,白米,14
アミノ,活性,14
and,酸度,14
山田錦,白米,14
山田錦,活性,14
清酒酵母,酒母,14
精米歩合,酒質,14
蒸米,酒母,14
アミノ,発酵,14
精米,酒造好適米,14
tabl,白米,14
清酒醸造,蒸米,14
and,精米歩合,14
官能評価,試料,14
精米歩合,純米酒,14
ビール,昭和,13
品種,酒質,13
原料米,麹菌,13
タンパク,蒸米,13
アミノ,吟醸酒,13
吟醸酒,酒母,13
活性,酒造好適米,13
清酒酵母,酒質,13
nan,清酒酵母,13
ppm,香気成分,13
fig,酵母,13
アミノ,香気成分,13
アミノ,官能評価,13
原料米,蒸米,13
仕込,酒質,13
精米,試料,13
rice,濃度,13
タンパク,白米,13
rice,清酒醸造,13
白米,酸度,13
and,活性,13
sake,精米歩合,13
ppm,tabl,13
仕込,白米,13
ppm,rice,13
rice,仕込,13
nan,清酒醸造,13
fig,濃度,12
nan,原料米,12
焼酎,醸造,12
nan,仕込,12
吟醸酒,白米,12
昭和,醸造,12
nan,香気成分,12
アミノ,遺伝子,12
ワイン,吟醸酒,12
焼酎,遺伝子,12
仕込,酸度,12
sake,吟醸酒,12
吟醸酒,官能評価,12
ppm,発酵,12
タンパク,ビール,12
醸造,香気成分,12
山田錦,平成,12
nan,精米,12
sake,精米,12
分離,発酵,12
タンパク,焼酎,12
品種,活性,12
蒸米,麹菌,12
仕込,蒸米,12
官能評価,濃度,12
アミノ,酒母,12
and,試料,12
ビール,遺伝子,12
原料米,活性,12
平成,酒質,12
アミノ,純米酒,11
ビール,消費者,11
sake,輸出,11
rice,酒質,11
遺伝子,酒造好適米,11
sake,醸造,11
杜氏,酒質,11
the,タンパク,11
昭和,純米酒,11
ビール,平成,11
官能評価,日本酒,11
試料,酒質,11
rice,酵母,11
rice,官能評価,11
tabl,山田錦,11
the,吟醸酒,11
fig,白米,11
and,酒質,11
純米酒,酸度,11
山田錦,遺伝子,11
吟醸酒,山田錦,11
原料米,酸度,11
昭和,酒造好適米,11
酒造好適米,麹菌,11
精米歩合,蒸米,11
精米歩合,香気成分,11
日本酒,麹菌,11
原料米,昭和,11
nan,酒類,11
fig,酸度,11
ppm,酸度,11
ppm,分離,11
ppm,試料,11
tabl,分離,11
rice,平成,11
and,香気成分,11
焼酎,香気成分,11
the,醸造,11
sake,日本,11
昭和,精米歩合,10
tabl,品種,10
酒造好適米,酸度,10
白米,酵母,10
原料米,遺伝子,10
発酵,遺伝子,10
品種,麹菌,10
平成,白米,10
吟醸酒,平成,10
fig,官能評価,10
官能評価,焼酎,10
日本酒,精米歩合,10
品種,蒸米,10
tabl,香気成分,10
and,清酒醸造,10
吟醸酒,輸出,10
発酵,麹菌,10
fig,精米歩合,10
rice,活性,10
タンパク,清酒醸造,10
酒母,香気成分,10
fig,清酒醸造,10
tabl,原料米,10
sake,酒造好適米,10
活性,酒類,10
nan,タンパク,10
アミノ,精米歩合,10
nan,山田錦,10
the,焼酎,10
測定,精米歩合,10
品種,遺伝子,10
ワイン,酵母,10
測定,濃度,9
分離,醸造,9
日本酒,香気成分,9
山田錦,酒質,9
原料米,清酒醸造,9
アミノ,白米,9
山田錦,酒母,9
官能評価,消費者,9
ワイン,酒類,9
原料米,日本酒,9
酒類,麹菌,9
原料米,酒母,9
昭和,酒母,9
濃度,白米,9
精米歩合,麹菌,9
fig,蒸米,9
昭和,麹菌,9
純米酒,酵母,9
アミノ,仕込,9
平成,酒造好適米,9
昭和,酒類,9
nan,測定,9
the,平成,9
濃度,香気成分,9
ppm,濃度,9
遺伝子,香気成分,9
清酒酵母,麹菌,9
平成,酵母,9
アミノ,分離,9
官能評価,平成,9
活性,蒸米,9
品種,昭和,9
測定,酵母,9
酒質,酒造好適米,9
the,麹菌,9
the,酒母,9
タンパク,酒質,9
発酵,酒類,9
活性,焼酎,9
清酒酵母,精米歩合,9
アミノ,山田錦,9
山田錦,酸度,9
昭和,白米,9
tabl,精米歩合,9
nan,蒸米,9
消費者,精米歩合,9
山田錦,昭和,9
仕込,官能評価,9
the,純米酒,9
昭和,蒸米,9
精米,蒸米,9
日本酒,酸度,9
tabl,酒造好適米,9
日本酒,醸造,9
濃度,精米,9
仕込,発酵,9
濃度,酒質,8
ワイン,醸造,8
品種,発酵,8
清酒醸造,遺伝子,8
白米,醸造,8
ビール,活性,8
タンパク,酒類,8
日本酒,清酒酵母,8
清酒醸造,酒母,8
醸造,麹菌,8
分離,酸度,8
原料米,純米酒,8
sake,平成,8
遺伝子,酒類,8
fig,香気成分,8
and,焼酎,8
官能評価,白米,8
ワイン,消費者,8
rice,醸造,8
遺伝子,酒母,8
活性,酒母,8
平成,醸造,8
杜氏,酒母,8
sake,測定,8
焼酎,麹菌,8
清酒醸造,白米,8
平成,杜氏,8
官能評価,測定,8
原料米,平成,8
吟醸酒,日本,8
日本,醸造,8
アミノ,日本酒,8
昭和,精米,8
官能評価,発酵,8
濃度,酸度,8
ワイン,酒質,8
清酒醸造,香気成分,8
the,酒類,8
仕込,杜氏,8
活性,測定,8
酒質,酒類,8
ppm,酒質,8
酒質,麹菌,8
品種,白米,8
and,仕込,8
