src,dst,weight
会誌,学会,2
会誌,日本醸造協会,2
会誌,発表,2
国際交流,発表,2
学会,情報交換,2
学会,日本醸造協会,2
学会,発表,10
学会,醸造学,3
学会,醸造学会,3
情報交換,発表,2
情報交換,醸造学会,2
日本学術会議,発行,2
日本醸造協会,発表,2
日本醸造協会,醸造学,2
発表,醸造学,2
発表,醸造学会,4
醸造学,醸造学会,3
アキヒカリ,吸水,2
アキヒカリ,心白,2
アキヒカリ,酒母,2
五百万石,交配,2
五百万石,吸水,5
五百万石,吸水性,6
五百万石,心白,6
五百万石,昭和,8
五百万石,消化性,12
五百万石,無効精米歩合,3
五百万石,精米,6
五百万石,精米歩合,5
五百万石,育成,5
五百万石,酒造好適米,17
五百万石,酸度,3
交配,心白,2
交配,昭和,3
交配,育成,5
交配,酒造好適米,2
交配,酸度,2
古城錦,昭和,2
古城錦,華吹雪,2
古城錦,豊盃,2
古城錦,青系,2
吸水,吸水性,6
吸水,心白,2
吸水,日目,3
吸水,昭和,4
吸水,消化性,3
吸水,米質,2
吸水,精米,2
吸水,精米歩合,3
吸水,育成,2
吸水,酒造好適米,6
吸水,酸度,2
吸水性,心白,10
吸水性,日目,3
吸水性,昭和,5
吸水性,消化性,15
吸水性,無効精米歩合,2
吸水性,精米,7
吸水性,精米歩合,7
吸水性,良好,3
吸水性,酒母,2
吸水性,酒造好適米,15
吸水性,酸度,3
品種改良,心白,3
品種改良,昭和,6
品種改良,精米,2
品種改良,育成,3
品種改良,酒造好適米,2
年度,日目,3
年度,昭和,15
年度,精米歩合,3
年度,育成,4
年度,良好,2
年度,酒造好適米,4
年度,酸度,2
心白,成熟期,2
心白,昭和,4
心白,消化性,5
心白,無効精米歩合,5
心白,精米,14
心白,精米歩合,10
心白,育成,6
心白,良好,4
心白,酒母,3
心白,酒造好適米,19
心白,酸度,2
成熟期,昭和,2
成熟期,精米,2
成熟期,精米歩合,2
成熟期,育成,2
成熟期,良好,2
成熟期,酒造好適米,2
抵抗性,日目,2
日目,昭和,12
日目,精米,2
日目,精米歩合,4
日目,酒母,14
日目,酒造好適米,3
日目,酸度,13
昭和,消化性,6
昭和,精米,9
昭和,精米歩合,10
昭和,育成,10
昭和,華吹雪,2
昭和,製成歩合,2
昭和,豊盃,2
昭和,酒母,12
昭和,酒造好適米,11
昭和,酸度,11
昭和,青森県,2
昭和,青系,2
比較,無効精米歩合,2
比較,精米,2
比較,精米歩合,3
比較,酒母,2
比較,酒造好適米,2
消化性,米質,2
消化性,精米,8
消化性,精米歩合,8
消化性,育成,3
消化性,良好,2
消化性,酒造好適米,15
消化性,酸度,7
無効精米歩合,精米,14
無効精米歩合,精米歩合,14
無効精米歩合,酒造好適米,3
生産年度,酸度,2
米質,精米歩合,2
米質,酒母,3
米質,酸度,4
精米,精米歩合,41
精米,育成,6
