src,dst,weight
学会,発表,10
発表,醸造学会,4
五百万石,吸水,5
五百万石,吸水性,6
五百万石,心白,6
五百万石,昭和,8
五百万石,消化性,12
五百万石,精米,6
五百万石,精米歩合,5
五百万石,育成,5
五百万石,酒造好適米,17
交配,育成,5
吸水,吸水性,6
吸水,昭和,4
吸水,酒造好適米,6
吸水性,心白,10
吸水性,昭和,5
吸水性,消化性,15
吸水性,精米,7
吸水性,精米歩合,7
吸水性,酒造好適米,15
品種改良,昭和,6
年度,昭和,15
年度,育成,4
年度,酒造好適米,4
心白,昭和,4
心白,消化性,5
心白,無効精米歩合,5
心白,精米,14
心白,精米歩合,10
心白,育成,6
心白,良好,4
心白,酒造好適米,19
日目,昭和,12
日目,精米歩合,4
日目,酒母,14
日目,酸度,13
昭和,消化性,6
昭和,精米,9
昭和,精米歩合,10
昭和,育成,10
昭和,酒母,12
昭和,酒造好適米,11
昭和,酸度,11
消化性,精米,8
消化性,精米歩合,8
消化性,酒造好適米,15
消化性,酸度,7
無効精米歩合,精米,14
無効精米歩合,精米歩合,14
米質,酸度,4
精米,精米歩合,41
精米,育成,6
精米,酒母,5
精米,酒造好適米,14
精米,酸度,4
精米歩合,育成,7
精米歩合,酒母,15
精米歩合,酒造好適米,19
精米歩合,酸度,26
育成,酒造好適米,15
良好,酒造好適米,5
酒母,酒造好適米,5
酒母,酸度,23
酒造好適米,酸度,10
ピーク,原料米,5
モード,偏差,5
一般米,千粒重,6
一般米,原料米,12
一般米,平均値,4
一般米,玄米,4
一般米,白米,11
一般米,砕米,4
一般米,精米,5
一般米,精米歩合,6
中心重,推定千粒重,4
中心重,無効精米歩合,7
中心重,玄米,5
中心重,白米,5
中心重,真精米歩合,5
中心重,砕米数,4
中心重,精米,5
中心重,精米機,6
中心重,精米歩合,7
中心重,重量分布,6
分布,精米歩合,5
千粒重,原料米,6
千粒重,玄米,7
千粒重,白米,6
千粒重,精米,5
原料米,平均値,4
原料米,水分,8
原料米,玄米,9
原料米,白米,24
原料米,相関関係,4
原料米,真精米歩合,6
原料米,砕米,5
原料米,精米,16
原料米,精米機,4
原料米,精米歩合,26
吟醸米,精米歩合,4
平均値,玄米,6
平均値,白米,7
平均値,精米,6
平均値,精米歩合,6
推定千粒重,無効精米歩合,4
推定千粒重,砕米数,4
推定千粒重,精米,4
推定千粒重,精米機,4
水分,玄米,5
水分,白米,9
水分,精米,6
水分,精米歩合,7
測定誤差,計算,5
無効精米歩合,玄米,9
