src,dst,weight
アミノ酸・タンパク質,酵母・微生物,766
清酒,酵母・微生物,648
ビール,酵母・微生物,378
アミノ酸・タンパク質,清酒,365
酵母・微生物,醤油,363
ワイン,酵母・微生物,350
味噌,醤油,337
ビール,清酒,317
味噌,酵母・微生物,282
ビール,ワイン,252
ワイン,清酒,245
焼酎,酵母・微生物,219
アミノ酸・タンパク質,醤油,175
アミノ酸・タンパク質,ビール,165
清酒,焼酎,163
アルコール飲料,ビール,142
アルコール飲料,清酒,138
発酵食品,醤油,121
農産物・果実,酵母・微生物,120
アミノ酸・タンパク質,味噌,120
アミノ酸・タンパク質,ワイン,114
清酒,醤油,106
焼酎,農産物・果実,106
アルコール飲料,ワイン,104
味噌,発酵食品,96
副産物・バイオマス,酵母・微生物,95
アミノ酸・タンパク質,焼酎,94
発酵食品,酵母・微生物,92
アルコール飲料,焼酎,90
ワイン,農産物・果実,90
発酵乳・乳製品,酵母・微生物,82
ビール,焼酎,79
副産物・バイオマス,清酒,75
ワイン,焼酎,72
アルコール飲料,酵母・微生物,65
ビール,醤油,62
アミノ酸・タンパク質,農産物・果実,62
アミノ酸・タンパク質,発酵食品,50
ワイン,醤油,48
味噌,清酒,48
アミノ酸・タンパク質,副産物・バイオマス,48
清酒,発酵食品,42
ビール,味噌,42
ビール,農産物・果実,37
発酵乳・乳製品,醤油,37
清酒,農産物・果実,37
味噌,発酵乳・乳製品,35
ワイン,発酵乳・乳製品,33
発酵乳・乳製品,発酵食品,32
焼酎,醤油,31
副産物・バイオマス,焼酎,31
副産物・バイオマス,発酵食品,28
アルコール飲料,醤油,26
ビール,発酵乳・乳製品,26
ビール,副産物・バイオマス,25
アミノ酸・タンパク質,発酵乳・乳製品,25
ビール,発酵食品,21
副産物・バイオマス,醤油,20
焼酎,発酵乳・乳製品,20
清酒,発酵乳・乳製品,19
味噌,焼酎,19
ワイン,副産物・バイオマス,19
ワイン,味噌,18
発酵乳・乳製品,農産物・果実,18
アルコール飲料,発酵乳・乳製品,18
アルコール飲料,農産物・果実,18
農産物・果実,醤油,18
副産物・バイオマス,農産物・果実,16
焼酎,発酵食品,14
発酵食品,農産物・果実,12
アルコール飲料,味噌,12
副産物・バイオマス,味噌,11
アミノ酸・タンパク質,アルコール飲料,11
アルコール飲料,副産物・バイオマス,10
ワイン,発酵食品,10
味噌,農産物・果実,10
副産物・バイオマス,発酵乳・乳製品,6
アルコール飲料,発酵食品,6
