src,dst,weight
アミノ酸・タンパク質,酵母・微生物,814
清酒,酵母・微生物,713
ビール,酵母・微生物,414
アミノ酸・タンパク質,清酒,398
酵母・微生物,醤油,372
ワイン,酵母・微生物,370
ビール,清酒,350
味噌,醤油,349
味噌,酵母・微生物,307
ワイン,清酒,278
ビール,ワイン,270
焼酎,酵母・微生物,244
清酒,焼酎,197
アミノ酸・タンパク質,ビール,177
アミノ酸・タンパク質,醤油,175
アルコール飲料,ビール,154
アルコール飲料,清酒,149
農産物・果実,酵母・微生物,128
アミノ酸・タンパク質,味噌,126
発酵食品,醤油,124
焼酎,農産物・果実,124
アミノ酸・タンパク質,ワイン,121
アルコール飲料,ワイン,114
清酒,醤油,105
味噌,発酵食品,105
アルコール飲料,焼酎,105
発酵食品,酵母・微生物,103
副産物・バイオマス,酵母・微生物,98
ビール,焼酎,97
アミノ酸・タンパク質,焼酎,97
ワイン,農産物・果実,90
発酵乳・乳製品,酵母・微生物,88
ワイン,焼酎,83
副産物・バイオマス,清酒,75
アルコール飲料,酵母・微生物,68
アミノ酸・タンパク質,農産物・果実,66
ビール,醤油,62
ワイン,醤油,52
アミノ酸・タンパク質,副産物・バイオマス,51
アミノ酸・タンパク質,発酵食品,50
味噌,清酒,50
ビール,味噌,48
清酒,発酵食品,45
清酒,農産物・果実,43
ビール,農産物・果実,40
発酵乳・乳製品,醤油,37
味噌,発酵乳・乳製品,36
副産物・バイオマス,焼酎,34
焼酎,醤油,34
ワイン,発酵乳・乳製品,33
副産物・バイオマス,発酵食品,31
発酵乳・乳製品,発酵食品,31
焼酎,発酵乳・乳製品,29
アルコール飲料,醤油,26
ビール,発酵乳・乳製品,26
アミノ酸・タンパク質,発酵乳・乳製品,25
味噌,焼酎,25
ビール,副産物・バイオマス,25
発酵乳・乳製品,農産物・果実,24
ビール,発酵食品,24
ワイン,味噌,22
副産物・バイオマス,醤油,20
清酒,発酵乳・乳製品,19
ワイン,副産物・バイオマス,19
アルコール飲料,農産物・果実,18
農産物・果実,醤油,18
アルコール飲料,発酵乳・乳製品,18
副産物・バイオマス,味噌,17
副産物・バイオマス,農産物・果実,16
発酵食品,農産物・果実,15
アミノ酸・タンパク質,アルコール飲料,14
焼酎,発酵食品,14
アルコール飲料,味噌,12
アルコール飲料,副産物・バイオマス,10
ワイン,発酵食品,10
味噌,農産物・果実,10
アルコール飲料,発酵食品,6
副産物・バイオマス,発酵乳・乳製品,6
