src,dst,weight
清酒,酵母・微生物,142
アミノ酸・タンパク質,酵母・微生物,137
ワイン,酵母・微生物,105
ビール,酵母・微生物,94
ビール,ワイン,84
アミノ酸・タンパク質,清酒,75
酵母・微生物,醤油,67
焼酎,酵母・微生物,64
味噌,醤油,63
ビール,清酒,62
ワイン,清酒,56
アミノ酸・タンパク質,ビール,49
味噌,酵母・微生物,44
清酒,焼酎,44
焼酎,農産物・果実,43
アミノ酸・タンパク質,醤油,38
アミノ酸・タンパク質,ワイン,38
ワイン,焼酎,33
農産物・果実,酵母・微生物,31
発酵乳・乳製品,酵母・微生物,29
副産物・バイオマス,酵母・微生物,29
アミノ酸・タンパク質,焼酎,27
発酵食品,醤油,27
アルコール飲料,焼酎,26
発酵食品,酵母・微生物,24
味噌,発酵食品,23
ビール,焼酎,23
清酒,醤油,23
ワイン,農産物・果実,23
アミノ酸・タンパク質,味噌,21
アミノ酸・タンパク質,発酵食品,20
副産物・バイオマス,清酒,18
アルコール飲料,清酒,17
副産物・バイオマス,発酵食品,16
アミノ酸・タンパク質,農産物・果実,16
アルコール飲料,ワイン,15
アルコール飲料,ビール,15
ビール,醤油,13
味噌,清酒,12
アミノ酸・タンパク質,発酵乳・乳製品,11
ビール,農産物・果実,11
アミノ酸・タンパク質,副産物・バイオマス,10
焼酎,醤油,10
アルコール飲料,酵母・微生物,10
清酒,発酵乳・乳製品,9
ビール,副産物・バイオマス,9
ワイン,発酵乳・乳製品,9
清酒,発酵食品,9
清酒,農産物・果実,9
ビール,味噌,8
発酵乳・乳製品,醤油,8
ビール,発酵乳・乳製品,8
焼酎,発酵乳・乳製品,7
味噌,発酵乳・乳製品,7
発酵乳・乳製品,農産物・果実,7
焼酎,発酵食品,6
副産物・バイオマス,焼酎,6
発酵乳・乳製品,発酵食品,6
