year,keyword,count
1988,000,5
1988,0127,1
1988,1031,1
1988,108,1
1988,110,1
1988,120,2
1988,180,1
1988,1950,1
1988,1971,1
1988,1979,1
1988,1984,1
1988,1985,2
1988,1986,3
1988,1987,4
1988,1988,4
1988,200,1
1988,213,1
1988,240,1
1988,241,1
1988,250,1
1988,258,1
1988,259,1
1988,267,1
1988,281,1
1988,28155,1
1988,283,1
1988,2段培養法,1
1988,300,1
1988,401,1
1988,415,1
1988,472,1
1988,500,1
1988,5315,1
1988,548,1
1988,563,1
1988,564,1
1988,565,1
1988,566,1
1988,567,1
1988,569,1
1988,701,2
1988,713,1
1988,714,1
1988,720,1
1988,748,1
1988,749,1
1988,7947,1
1988,800,1
1988,801,1
1988,859,1
1988,901,3
1988,909,1
1988,943,1
1988,980,1
1988,986,1
1988,995,1
1988,A2B1a,1
1988,A3per-gi,1
1988,AAase,2
1988,ACL,1
1988,ACPase,2
1988,ACPaseI,1
1988,ADACHI,1
1988,ADH,1
1988,ADP,1
1988,AGL,1
1988,ALAs,1
1988,ALDC,1
1988,ALDC遺伝子,1
1988,AM2,1
1988,AM2-,1
1988,AMERINE,1
1988,AMP,2
1988,APase,2
1988,ARGAFF,1
1988,ARL28,1
1988,ARNOLD,1
1988,ATC,1
1988,ATP,2
1988,AVERY,1
1988,Acucel,1
1988,Agric,1
1988,AmOAc,1
1988,AmOH,1
1988,Amer,2
1988,Apo-,1
1988,Asp,1
1988,Aspergi,2
1988,Aspergillus,1
1988,Averages,1
1988,Awmi,1
1988,Awopt,1
1988,B2-,1
1988,BARNETT,1
1988,BERTRAND,1
1988,BF0,1
1988,BOD,1
1988,Baci,1
1988,Bands,1
1988,Base0,1
1988,Before,1
1988,Bergey,1
1988,Biol,1
1988,Boi,1
1988,Brew,2
1988,CAA,1
1988,CAE,5
1988,CBS,1
1988,CECH,1
1988,CGTase,2
1988,CHC13,1
1988,CHCO,1
1988,CHCl,1
1988,CM-,1
1988,CMS,1
1988,CO2,1
1988,COD,1
1988,COD除去,1
1988,COOH,1
1988,CPase,1
1988,CTA,1
1988,CVS,2
1988,Candida,1
1988,Cedar,1
1988,Cell,2
1988,Cex,1
1988,Changes,2
1988,Chill,1
1988,Chondroi,1
1988,Chromatogr,1
1988,CoA,1
1988,Concentration,1
1988,Continuous,1
