No.,相対PASS,発行年,巻数,号数,開始ページ,終了ページ,論文タイトル,著者,file_name,HPリンク先,PDFリンク先,file_path,num_pages,llm_keywords,primary_keywords,secondary_keywords,featured_keywords,対象物_all,対象物_top3,対象物_根拠,研究タイプ_all,研究タイプ_top3,研究タイプ_根拠
1,日本醸造協会誌/83巻/1号/83_1.pdf,1988,83,1,1,1,醸造学会のスタート,村上 英也,83_1.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_1/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_1/_pdf/-char/ja,,,醸造学会; 日本醸造協会; 科学的研究; 情報交換; 学会活動; 国際交流; 生物科学; 会誌; 醸造学; 醸酵学,醸造学会; nan; 学会活動; 学会; 研究論文; 発表; 発行; 醸造学会会長村上英也昨年; 巻頭随想醸造学会; 日東京大手町農協; 編集企画委員; 自身学術研究; 科学研究報告; 御出席多数; 両副学会長; ェネルギー; 分流分派; 合流強化; 元来両会; 一般解説,生涯自分; 各国各地; 御賛同; 不肖私; 御就任; 御入会; 御発表; 醸酵学; カント; 物象; 前衛; 後衛; 学術的価値; 査読制度; 御挨拶; 分流; 日本学術会議; 国際化社会; 応用法; 創立総会,,酵母・微生物,酵母・微生物,酵母・微生物=>細胞,醸造工程・製造技術; 歴史・文化・経済,醸造工程・製造技術; 歴史・文化・経済,醸造工程・製造技術=>醸造; 歴史・文化・経済=>歴史
2,日本醸造協会誌/83巻/1号/83_2.pdf,1988,83,1,2,7,青森県における酒造好適米の育成,山内 嘉一,83_2.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_2/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_2/_pdf/-char/ja,,,酒造好適米; 育成; 青森県; 品種改良; 古城錦; 豊盃; 華吹雪; 精米; 吸水; 消化性,豊盃; 華吹雪; 古城錦; アキヒカリ; 青森県工業試験場業務報告書; 昭和; 五百万石; 精米; 酒造好適品種; トワダ; 青森県; 青系; 製成歩合; 育成; 精米歩合; 日目; 年度; 成熟期; 酸度; 抵抗性,青森県農業試験場研究報告書; 表標準施肥区; 標準施肥区; 吸水性第; 分間及; 華吹雲; 強稈; 青系酒; 表玄米; 米質; 良好; 無効精米歩合; 酒造好適米; 比較; 表製成酒; 心白; 交配; 酒母; 吸水性; 生産年度,,アルコール飲料; 清酒; 酵母・微生物,アルコール飲料; 清酒; 酵母・微生物,"アルコール飲料=>アルコール; 清酒=>五百万石, 酒米, 山田錦; 酵母・微生物=>酵母, 麹菌",成分分析・物性評価; 醸造工程・製造技術; 品質評価・官能評価; 微生物・遺伝子関連,成分分析・物性評価; 醸造工程・製造技術; 品質評価・官能評価,"成分分析・物性評価=>酸度, 色度; 醸造工程・製造技術=>蒸米; 品質評価・官能評価=>品質"
3,日本醸造協会誌/83巻/1号/83_8.pdf,1988,83,1,8,16,酒造原料米の重量分布,丸山 新次,83_8.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_8/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_8/_pdf/-char/ja,,,酒造原料米; 米粒重量; 重量分布; 評価; 測定法; 電子天びん; マイクロコンピュータ; サンプルサイズ; 中心重; 偏差,精米損失; 重量分布; 中心重; 吟醸米; 砕米; 一般米; 精米; 精米歩合; サンプルサイズ; モード; 平均値; 無効精米歩合; 推定千粒重; 精米経過; 白米; 千粒重; 平均米粒重; 重量補正; 整粒部分; 真精米歩合,玄米; 原料米; 粒数; 米粒重量; 推移; 整粒数; 測定誤差; 相関関係; 採用; 精米中; 精米初期; 計算; 累計; 水分; 両側法; 分布; 砕米数; 丸山新次; ピーク; 精米機,,清酒,清酒,"清酒=>清酒, 大吟醸",成分分析・物性評価; 品質評価・官能評価; 醸造工程・製造技術,成分分析・物性評価; 品質評価・官能評価; 醸造工程・製造技術,"成分分析・物性評価=>測定; 品質評価・官能評価=>品質, 評価; 醸造工程・製造技術=>製造"
4,日本醸造協会誌/83巻/1号/83_17.pdf,1988,83,1,17,24,ホスホリラーゼ-その作用をめぐって,小林 幹彦; 一島 英治,83_17.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_17/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_17/_pdf/-char/ja,,,ホスホリラーゼ; デンプン; グリコーゲン; グルコース-1-リン酸; 酵素; 一次構造; 活性調節機構; 微生物; 多糖合成; PLP,ホスホリラーゼ; PLP; リン; 酵素; 筋肉酵素; AMP; グリコーゲン; ジャガイモ; ウサギ; 結合; グルカン; 一次構造; 骨格筋; アミノ; 貯蔵部位; 基質; 酸基; 筋肉; 酸化; 反応,残基; 活性化部位; 酸化部位; シクロデキストリン; 分岐; 大腸菌; グループ; ダイマー; 作用; 分子量; 合成; 合成方向; 補酵素; サブユニット; 結合部位; 存在; デキストリン; マルトデキストリンホスホリラーゼ; 阻害剤部位; 酸配列,,アミノ酸・タンパク質; 酵母・微生物,アミノ酸・タンパク質; 酵母・微生物,"アミノ酸・タンパク質=>酵素, ペプチド, ヒスチジン; 酵母・微生物=>酵母, バクテリア, 微生物",保存・安定性; 微生物・遺伝子関連; 応用利用・食品開発; 成分分析・物性評価; 統計解析・モデル化; 歴史・文化・経済; 醸造工程・製造技術,保存・安定性; 微生物・遺伝子関連; 応用利用・食品開発,"保存・安定性=>酸化, 保存; 微生物・遺伝子関連=>遺伝子, 微生物, 突然変異; 応用利用・食品開発=>利用"
5,日本醸造協会誌/83巻/1号/83_25.pdf,1988,83,1,25,28,吟醸酒を市販して25年,萱島 須磨自,83_25.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_25/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_25/_pdf/-char/ja,,,吟醸酒; 市販; 歴史; 品評会; 製造原価; 酒税法改正; 秘蔵酒; 貯蔵; 香味; 価格,吟醸酒; 月発売; 市販; 当社; 貯蔵; 秘蔵酒; 720; フロストグリーン; 瓶箱入; 原価; 吟醸; 香味; 従価税; 昭和; 000; 大吟醸; 吟醸造; 年貯蔵; 批評; 消費者,小売価格; 価格; 中吟本醸造古酒; 中吟純米古酒; 美吟本醸造; 美吟純米; 吟醸香; 発売; 雫酒; 世間; 秘蔵; 庫人; 時代; アップ; 労務費; 250; 世人; 杜氏; 出来; 熟語,,清酒; アルコール飲料; ワイン,清酒; アルコール飲料; ワイン,"清酒=>吟醸, 大吟醸, 吟醸香; アルコール飲料=>アルコール; ワイン=>ワイン",保存・安定性; 歴史・文化・経済; 醸造工程・製造技術; 応用利用・食品開発; 品質評価・官能評価; 環境・サステナビリティ; 健康機能・栄養効果; 成分分析・物性評価,保存・安定性; 歴史・文化・経済; 醸造工程・製造技術,"保存・安定性=>貯蔵; 歴史・文化・経済=>歴史, 流通, 需要; 醸造工程・製造技術=>熟成, 製造"
6,日本醸造協会誌/83巻/1号/83_29.pdf,1988,83,1,29,29,お答えします,伊藤 清,83_29.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_29/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_29/_pdf/-char/ja,,,活性炭; 香気成分; 吸着; 吟醸香; 酢酸イソアミル; カプロン酸エチル; 蒸発; 低温; エタノール; バランス,香気成分; 散逸; 吟醸香; 吸着; 活性炭; 物質; 蒸発; nan; 吟醸酒; 御質問; 香気; 品格; ビニール; 活性炭処理; ゴム; 酒中; 上槽後; 性質; 親和性; 空気中,酢酸; 上槽後香気成分; 倍蒸発; エチル; 溶剤臭; 極力減少; 様子; 安定剤; 極力減; イソアミル; 毎年行; 保留; 製造工程; 原因; 小試験; カブ; 見渡; 注意; 必要最小限; 主体,,清酒; アルコール飲料,清酒; アルコール飲料,"清酒=>吟醸香, 清酒; アルコール飲料=>エタノール, アルコール",品質評価・官能評価; 醸造工程・製造技術,品質評価・官能評価; 醸造工程・製造技術,"品質評価・官能評価=>香気成分, 香気; 醸造工程・製造技術=>製造"
7,日本醸造協会誌/83巻/1号/83_30.pdf,1988,83,1,30,36,味噌醸造におけるα化米の利用,大西 邦男,83_30.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_30/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_30/_pdf/-char/ja,,,α化米; 味噌醸造; 製麹; 減塩味噌; 酵母; 発酵促進; 蒸米工程; 合理化; 吸水性; 技術開発,化米; 味噌; 減塩味噌; 特定米穀; エタノール; 標準味噌; 低食塩化味噌; 生成量; ハイコージ; 蒸米; 食塩濃度; 吸水; 大西邦男; 浸漬; 添加; 混合比率; 米麹; 味噌醸造; 水切; 未熟米,技術; 日目; 塊状; 粘結; 科学; 特公; 付着水; 酵素活性不足分; 西澤嘉彦; 酵母; 使用; 転換; 熟成初期; 対照; ビーンフラワー; 斉藤朱美; 謎解; 水分調整; 味噌熟成中; 蒸米工程,,味噌; アルコール飲料; 酵母・微生物; 農産物・果実; 清酒; アミノ酸・タンパク質,味噌; アルコール飲料; 酵母・微生物,"味噌=>味噌; アルコール飲料=>エタノール, アルコール; 酵母・微生物=>酵母, 乳酸菌, 麹菌",醸造工程・製造技術; 応用利用・食品開発; 品質評価・官能評価; 保存・安定性; 環境・サステナビリティ; 歴史・文化・経済; 統計解析・モデル化; 微生物・遺伝子関連; 成分分析・物性評価,醸造工程・製造技術; 応用利用・食品開発; 品質評価・官能評価,"醸造工程・製造技術=>蒸米, 製造, 発酵; 応用利用・食品開発=>利用, 開発, 応用; 品質評価・官能評価=>品質, 評価, 官能検査"
8,日本醸造協会誌/83巻/1号/83_37.pdf,1988,83,1,37,37,久須美酒造,國府田 宏行,83_37.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_37/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_37/_pdf/-char/ja,,,久須美家; 酒造り; 天保の飢饉; 湧水; 横井戸; 清水; 老杉; 酒の香地; 猿酒; 米,久須美家; 十郎; 横井戸; nan; 酒造; 新潟県; 清泉; 丘陵; 太古; 天保; 湧水; キロ; メートル; トン; 清水; 年新潟県立長岡農業試験場; 第三回内国勧業博覧会; 六代久須美記廸専務; 和島村久須美酒造; 三島郡島田村若浦,初代久須美作之助; 父親河津三郎祐通; 工藤二階堂系図; 宇奈具志神社; 仁田四郎忠常; 三島郡三島町; 世界大博覧会; 長老河合清氏; 和島村若浦; 上久須美家; 工藤次祐経; 弟禪師御房; 成人後現在; 出雲崎町; 出田明神; 天候不良; 曽我兄弟; 十郎祐成; 尊卑分脈; 河津系図,,清酒,清酒,"清酒=>酒造, 大吟醸",醸造工程・製造技術,醸造工程・製造技術,醸造工程・製造技術=>製造
9,日本醸造協会誌/83巻/1号/83_38.pdf,1988,83,1,38,39,モノクロナール抗体について,後藤 邦康,83_38.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_38/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_38/_pdf/-char/ja,,,モノクローナル抗体; 抗体; 抗原; リンパ球; 免疫グロブリン; 免疫; 動物; 病気; 治癒; 生体防御機構,抗体; 抗原; リンパ; モノクローナル; ガン; 動物; 異物; 永遠; モノクローナノ; ミエローマ; リンハ; nan; 寿命; モノクロナール; 細胞; ポリクローナル; 免疫反応; 免疫; 細胞融合; 特異的,特異性; 病気; 家畜細菌性下痢症等; 応用例農業的; 年細胞工学; 応用例以下; ウイノレス; 場合治癒; 免疫現象; 抗体作成; 臨床段階; 人間以外; 血清検査; 間病気; 十分作; 診断用; アフィニティクロマトグラフ; 以下簡単; 検査試薬; 人間体内,,酵母・微生物,酵母・微生物,"酵母・微生物=>細胞, 酵母",応用利用・食品開発; 健康機能・栄養効果; 微生物・遺伝子関連,応用利用・食品開発; 健康機能・栄養効果; 微生物・遺伝子関連,"応用利用・食品開発=>利用, 応用; 健康機能・栄養効果=>免疫; 微生物・遺伝子関連=>遺伝子, 発現"
10,日本醸造協会誌/83巻/1号/83_40.pdf,1988,83,1,40,41,市販清酒の甘辛度の県別比較,高宮 義治,83_40.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_40/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_40/_pdf/-char/ja,,,市販清酒; 甘辛度; 県別比較; 地域差; 嗜好品; 酒質; 調査; 辛口傾向; 甘口傾向; 製品,nan; 甘辛度; 級酒; 地域差; メーカー; 各県; 平均値一全国平均値; 級酒全課税移出数量; 県別比較最近; 伝統的嗜好品; 課税移出数最; 詰主力製品; 佐藤氏等; 随分変; 当該県; 地域; 県別平均値; 食生活等; 級清酒; 流通事情,西端; 調査対象酒; 甘口傾向; 辛口傾向; 運輸; 南国; 累計; 全国平均値; 醸界; 数値; 愛媛; 高宮義治; 重回帰式; 国税局鑑定官室; 調査対象; 山口県; 長崎県; 瀬戸内海; 高知; 左図,,清酒,清酒,清酒=>清酒,成分分析・物性評価,成分分析・物性評価,"成分分析・物性評価=>酸度, 分析"
