src,dst,weight
nan,酵母,302
nan,清酒,248
nan,the,238
nan,ワイン,220
nan,発酵,214
nan,日本酒,203
and,nan,185
nan,香気成分,171
nan,麹菌,157
nan,焼酎,156
nan,官能評価,155
Fig,nan,152
nan,乳酸菌,148
nan,ビール,148
nan,タンパク,139
nan,白酒,132
nan,醤油,131
nan,エチル,127
nan,アミノ,126
nan,遺伝子,126
nan,醸造,103
nan,日本,102
nan,味噌,100
nan,活性,99
nan,濃度,97
Fig,the,96
nan,品種,92
nan,添加,91
nan,平成,89
nan,品質,87
nan,酒類,85
nan,rice,83
nan,酢酸,83
nan,微生物,83
nan,試料,78
nan,エステル,77
nan,機能性,77
nan,酒質,77
nan,食品,76
acid,nan,75
nan,解析,75
nan,清酒酵母,75
nan,黄酒,74
nan,含量,74
nan,研究,74
nan,sake,73
and,the,72
nan,oryzae,72
発酵,酵母,71
nan,発酵食品,71
DNA,nan,69
nan,麹,69
nan,分離,69
nan,四川,68
nan,サンプル,68
nan,成分,68
nan,昭和,67
cerevisiae,nan,66
nan,カプロン,66
nan,輸出,64
nan,歴史,64
Table,nan,64
nan,原料,63
nan,生成,62
nan,グルコース,62
nan,ブドウ,61
nan,測定,61
the,清酒,60
清酒,酵母,59
nan,写真,58
遺伝子,酵母,58
Aspergillus,nan,57
nan,ゲノム,57
nan,訳者注,56
nan,分析,56
nan,仕込,55
nan,デンプン,55
nan,消費者,55
nan,品質管理,54
nan,摂取,54
cerevisiae,酵母,53
100,nan,53
nan,生産,53
nan,開発,53
nan,アミノ酸,52
nan,ペプチド,52
nan,ーー,52
nan,検出,52
nan,酸度,52
nan,飲酒,52
nan,精米歩合,52
nan,芋焼酎,52
nan,蒸留,51
nan,市場,51
oryzae,麹菌,51
エチル,カプロン,51
nan,培地,51
清酒酵母,酵母,50
日本,日本酒,50
nan,要旨,50
rice,the,50
nan,カプロン酸エチル,50
nan,乳酸,50
四川,白酒,49
nan,プロテアーゼ,49
ワイン,日本酒,49
nan,山田錦,49
nan,マウス,48
nan,発現,48
Fig,and,48
nan,影響,48
日本酒,輸出,48
nan,健康,48
ブドウ,ワイン,47
sake,清酒,47
and,酵母,47
nan,製造方法,47
min,nan,47
nan,酒粕,47
nan,有機酸,47
nan,培養,47
nan,ヒト,46
nan,吟醸酒,46
nan,リンゴ,46
Saccharomyces,nan,46
白酒,黄酒,46
nan,泡盛,46
nan,伝統,45
nan,変化,45
nan,有意,45
the,酵母,45
nan,場合,45
nan,増加,45
遺伝子,麹菌,44
nan,熟成,44
nan,海外,44
nan,中国,43
酵母,香気成分,43
Saccharomyces,cerevisiae,43
nan,酵素活性,43
nan,清酒醸造,43
nan,サツマイモ,43
nan,スクリーニング,42
nan,was,42
nan,貯蔵,42
nan,蒸留酒,42
acid,the,42
エチル,香気成分,42
sake,the,42
nan,ポリフェノール,41
nan,使用,41
乳酸菌,酵母,41
nan,カビ,41
nan,菌株,41
nan,原料米,41
nan,商品,40
koji,nan,40
Saccharomyces,酵母,40
nan,グルタミン,40
ビール,ワイン,40
清酒,焼酎,40
官能評価,清酒,40
nan,ストレス,39
nan,白米,39
nan,パン,39
Table,the,39
nan,風味,39
nan,アントシアニン,39
nan,食文化,39
nan,日目,39
nan,世界,39
nan,温度,39
the,香気成分,38
タンパク,麹菌,38
nan,料理,38
ワイン,白酒,38
GC-MS,nan,38
エチル,酢酸,38
Fig,清酒,38
nan,生育,37
nan,中国白酒,37
nan,エタノール,37
nan,大曲,37
カプロン,カプロン酸エチル,37
味噌,醤油,37
白酒,訳者注,37
and,発酵,36
nan,白酒中,36
nan,食塩,36
Lactobacillus,nan,36
nan,香気,36
000,nan,36
nan,ppm,36
日本酒,焼酎,36
nan,文化,36
ゲノム,遺伝子,36
官能評価,香気成分,36
nan,酒造好適米,36
エステル,香気成分,36
微生物,発酵,35
nan,ラット,35
nan,画分,35
nan,苦味,35
日本,輸出,35
ワイン,日本,35
nan,酵素,35
エチル,白酒,35
nan,アミラーゼ,35
nan,shochu,35
市場,日本酒,35
PCR,nan,35
nan,結果,35
nan,純米酒,34
nan,検討,34
焼酎,発酵,34
nan,品質向上,34
nan,出品酒,34
nan,アルコール,34
nan,和食,34
nan,食酢,34
nan,焼酎粕,34
焼酎,香気成分,34
発酵,醸造,34
nan,中国醸造雑誌,34
nan,塩味,34
分離,酵母,34
日本酒,海外,33
nan,酒母,33
nan,アルコール発酵,33
the,焼酎,33
nan,甘味,33
nan,酒米,33
nan,機能性食品,33
nan,ウイスキー,33
エチル,カプロン酸エチル,33
品質,発酵,33
nan,センター,33
nan,相関,33
酵母,醸造,32
nan,代謝,32
nan,分解,32
2009,nan,32
nan,対照,32
nan,ホップ,32
nan,アセトアルデヒド,32
nan,報告,32
nan,酢酸菌,32
nan,親株,32
nan,技術,32
the,官能評価,32
nan,旨味,32
nan,蒸米,32
nan,酒文化,31
HPLC,nan,31
nan,育種,31
アミノ,酵母,31
nan,クエン,31
nan,酒,31
nan,抗酸化活性,31
nan,タイプ,31
清酒,試料,31
Ethyl,nan,31
アミノ,ペプチド,31
日本酒,消費者,31
nan,処理,31
NBRC,nan,30
日本,海外,30
nan,本格焼酎,30
the,濃度,30
nan,億元,30
ビール,日本酒,30
Aspergillus,oryzae,30
nan,醸造技術,30
焼酎,芋焼酎,30
nan,同定,30
nan,ラジカル,30
DNA,酵母,30
アミノ,タンパク,30
2008,nan,30
nan,調査,30
GABA,nan,30
nan,メーカー,30
oryzae,遺伝子,30
Bacillus,nan,29
エチル,酵母,29
nan,開催,29
cerevisiae,遺伝子,29
パン,酵母,29
nan,品質評価,29
nan,フランス,29
nan,配列,29
nan,ジアセチル,29
清酒,発酵,29
the,was,29
nan,国際化,29
nan,フェノール,29
平成,昭和,29
nan,蔵元,29
Aspergillus,麹菌,29
Sake,nan,29
醤油,麹菌,29
タンパク,酵母,29
ビール,酵母,29
nan,米,29
nan,貴州,29
nan,大豆,29
nan,耐性,29
nan,除去,29
nan,ブランド,29
Lactobacillus,乳酸菌,29
酒質,酵母,28
エステル,白酒,28
nan,タンパク質,28
nan,グルテリン,28
nan,酸味,28
nan,vol,28
清酒,酒質,28
nan,育成,28
the,アミノ,28
nan,食品安全,28
nan,アメリカ,28
訳者注,黄酒,28
タンパク,清酒,28
nan,五百万石,28
rice,sake,28
nan,yeast,28
oryzae,タンパク,28
nan,化合物,28
ビール,ホップ,28
and,清酒,28
酵母,麹菌,28
ゲノム,麹菌,28
活性,酵母,27
nan,酸性,27
DNA,遺伝子,27
ワイン,四川,27
酢酸,酵母,27
nan,細胞内,27
海外,輸出,27
nan,効果,27
味噌,麹菌,27
エチル,清酒,27
白酒,香気成分,27
nan,アレルギー,27
解析,遺伝子,27
発酵,香気成分,27
nan,グループ,27
活性,麹菌,27
品質,香気成分,27
nan,ピーク,27
nan,製麹,27
タンパク,発酵,27
nan,飲料,27
エステル,エチル,27
nan,試験,26
nan,出芽酵母,26
nan,味覚,26
ACE,nan,26
nan,分析法,26
nan,ヒスタミン,26
nan,遊離,26
清酒,醸造,26
nan,バイオテクノロジー,26
Fig,rice,26
nan,審査,26
nan,輸入,26
nan,日本食,26
官能評価,添加,26
成分,香気成分,26
nan,抑制,26
nan,天皇,26
nan,栽培,25
乳酸菌,培地,25
nan,脂質,25
nan,生産量,25
DPPH,nan,25
nan,浸漬,25
nan,全国新酒鑑評会,25
nan,血中,25
nan,リンゴ酸,25
nan,精度,25
Brix,nan,25
nan,コメ,25
ethyl,nan,25
nan,上用,25
世界,日本酒,25
発現,遺伝子,25
清酒,濃度,25
アミノ,アミノ酸,25
酢酸,香気成分,25
2010,nan,25
サツマイモ,焼酎,25
nan,カルバミン酸エチル,25
nan,甘藷焼酎,25
大曲,白酒,25
nan,アミロペクチン,25
アミノ,清酒,24
nan,杜氏,24
nan,変異株,24
DMTS,nan,24
nan,識別,24
compounds,nan,24
2019,nan,24
nan,機能,24
白酒,要旨,24
nan,黒麹菌,24
アメリカ,日本,24
koji,the,24
nan,遺伝子発現,24
nan,香味,24
nan,増殖,24
醤油,食品,24
nan,藤井,24
nan,細菌,24
白酒,白酒中,24
Fig,acid,24
nan,表示,24
清酒,相関,24
Fig,sake,24
nan,酢酸イソアミル,24
nan,アフラトキシン,24
原料,発酵,24
nan,精米,24
acid,and,24
フランス,ワイン,24
四川,黄酒,24
nan,米麹,24
nan,製成酒,24
解析,麹菌,24
nan,消費量,23
ビール,焼酎,23
ワイン,香気成分,23
写真,日本酒,23
nan,フェルラ,23
acid,清酒,23
濃度,香気成分,23
ワイン,輸出,23
乳酸菌,味噌,23
nan,活性炭,23
kDa,nan,23
the,アミノ酸,23
rice,精米歩合,23
nan,産生,23
nan,山田,23
nan,安全性,23
タンパク,活性,23
nan,地域,23
タンパク,発現,23
官能評価,酵母,23
the,発酵,23
機能性,酵母,23
the,エチル,23
mash,nan,23
nan,地理的表示,23
タンパク,遺伝子,23
芋焼酎,香気成分,23
nan,strains,23
nan,イオン,23
nan,レストラン,23
nan,健康機能,23
ストレス,酵母,22
ビール,清酒,22
nan,味噌汁,22
料理,日本酒,22
nan,現地,22
白酒,貴州,22
nan,アミロース,22
acid,アミノ,22
nan,美味,22
ビール,発酵,22
nan,選抜,22
nan,玉置,22
乳酸菌,醤油,22
出芽酵母,酵母,22
nan,香り,22
nan,特徴,22
nan,中国醸造,22
nan,玄米,22
nan,学生,22
nan,日本書紀,22
日本酒,飲酒,22
nan,アルデヒド,22
ゲノム,解析,22
カプロン,酵母,22
ワイン,酵母,22
nan,クラスター,22
国際化,日本酒,22
nan,うま味,22
nan,データ,22
2017,nan,22
添加,香気成分,22
nan,利用,22
