src,dst,weight
and,the,198
遺伝子,酵母,141
清酒,酵母,139
and,酵母,136
the,酵母,135
the,was,130
nan,酵母,128
nan,昭和,128
nan,日本酒,126
Fig,the,123
nan,清酒,119
発酵,酵母,119
ブドウ,ワイン,119
nan,研究,117
the,清酒,117
rice,the,111
乳酸菌,酵母,108
nan,ワイン,105
清酒酵母,酵母,104
遺伝子,麹菌,103
sake,清酒,102
oryzae,麹菌,101
nan,醸造,99
sake,the,99
nan,白酒,96
酵母,香気成分,93
味噌,醤油,92
アミノ,酵母,91
nan,ビール,88
酵母,麹菌,87
ビール,酵母,87
and,was,86
活性,酵母,86
分離,酵母,83
生成,酵母,82
ワイン,酵母,79
acid,the,78
日本,日本酒,77
the,アミノ,75
ビール,ワイン,75
活性,麹菌,75
官能評価,清酒,74
Tabl,the,74
清酒,焼酎,74
cerevisiae,酵母,74
酵母,醸造,73
the,濃度,73
nan,微生物,73
エチル,カプロン,72
nan,麹菌,72
the,官能評価,72
発現,遺伝子,72
nan,醤油,71
培地,酵母,70
親株,酵母,70
アミノ,アミノ酸,70
Saccharomyces,酵母,70
nan,発酵,70
ワイン,日本酒,69
Saccharomyces,cerevisiae,69
DNA,遺伝子,67
タンパク,麹菌,67
味噌,麹菌,67
DNA,酵母,66
the,香気成分,66
oryzae,遺伝子,65
アミラーゼ,活性,65
ビール,清酒,64
アミノ,タンパク,64
タンパク,遺伝子,64
活性,酵素活性,63
the,活性,63
タンパク,酵母,62
and,清酒,62
アミノ,清酒,62
and,ワイン,61
nan,日本,60
and,sake,60
Fig,and,60
and,活性,60
エチル,香気成分,59
エチル,酢酸,59
Aspergillus,oryzae,59
nan,焼酎,58
清酒,酒質,58
nan,吟醸酒,57
nan,味噌,57
ワイン,日本,57
nan,技術,57
oryzae,活性,57
添加,酵母,56
解析,遺伝子,56
清酒,酸度,56
昭和,清酒,56
プロテアーゼ,活性,56
味噌,酵母,56
酒母,酵母,56
清酒,酒類,55
日本酒,輸出,55
nan,黄酒,55
平成,昭和,55
酒質,酵母,54
醤油,麹菌,54
酵母,酸度,54
味噌,食塩,54
官能評価,香気成分,53
and,培地,53
育種,酵母,53
乳酸菌,味噌,53
and,発酵,53
エステル,香気成分,53
研究,酵母,53
日本酒,消費者,52
変異株,親株,50
rice,白米,50
nan,要旨,50
変異株,酵母,50
酢酸,香気成分,50
アミノ,酸度,49
清酒,麹菌,49
アミラーゼ,麹菌,49
and,アミノ,49
市場,日本酒,49
仕込,酵母,49
活性,遺伝子,49
酢酸,酵母,48
and,rice,48
Aspergillus,麹菌,48
ビール,焼酎,48
タンパク,活性,48
ビール,日本酒,48
the,試料,47
acid,and,47
the,焼酎,47
the,添加,47
吟醸酒,清酒,47
プロテアーゼ,麹菌,47
発酵,醸造,47
白酒,黄酒,47
清酒,醸造,47
酵母,醤油,46
Fig,清酒,46
and,遺伝子,46
nan,歴史,46
the,酸度,46
日本,輸出,46
the,発酵,46
was,酵母,46
ビール,酒類,46
清酒,濃度,46
清酒,香気成分,46
Tabl,and,46
白米,精米歩合,46
rice,sake,45
アミラーゼ,酵母,45
sake,酵母,45
nan,品質,45
清酒酵母,親株,45
清酒酵母,遺伝子,45
微生物,発酵,45
焼酎,香気成分,45
解析,麹菌,45
濃度,酵母,45
発現,酵母,45
ppm,the,44
oryzae,タンパク,44
ppm,清酒,44
原料米,清酒,44
ワイン,清酒,44
酵素,麹菌,44
アミノ,活性,43
the,ワイン,43
製麹,麹菌,43
味噌,活性,43
発現,麹菌,43
グルコース,酵母,43
rice,精米歩合,43
the,グルコース,43
the,培地,43
アミノ,生成,42
味噌,食品,42
研究,麹菌,42
ワイン,品種,42
nan,酒類,42
生産,麹菌,42
培養,酵母,41
発酵,香気成分,41
生成,香気成分,41
清酒,発酵,41
タンパク,清酒,41
and,濃度,41
アミラーゼ,プロテアーゼ,41
and,分離,41
乳酸菌,麹菌,41
昭和,酵母,41
官能評価,酵母,41
oryzae,酵母,41
タンパク,発現,41
焼酎,酵母,41
nan,食品,40
エステル,エチル,40
the,アミノ酸,40
日本酒,昭和,40
nan,香気成分,40
微生物,酵母,40
アミノ,醤油,40
清酒,精米歩合,40
the,測定,40
ビール,日本,40
日本酒,焼酎,40
清酒,遺伝子,40
the,酵素活性,40
乳酸菌,生育,40
nan,消費者,40
リンゴ,酵母,40
分離,培地,40
and,乳酸菌,40
Tabl,sake,39
乳酸菌,分離,39
sake,官能評価,39
ワイン,白酒,39
乳酸,乳酸菌,39
清酒,白米,39
焼酎,発酵,39
吟醸酒,日本酒,39
消費者,清酒,39
エチル,酵母,39
ワイン,醸造,39
原料,発酵,39
nan,遺伝子,39
微生物,麹菌,39
遺伝子,酵素,38
日本酒,清酒,38
培地,培養,38
原料,焼酎,38
商品,日本酒,38
乳酸菌,発酵,38
清酒,生成,38
and,官能評価,38
清酒,試料,38
ワイン,香気成分,38
成分,香気成分,38
アミラーゼ,酵素活性,38
微生物,醤油,38
acid,清酒,38
アミノ,遺伝子,38
ブドウ,酵母,38
エチル,白酒,38
アミノ,麹菌,37
and,香気成分,37
醤油,食塩,37
エチル,清酒,37
酵母,麹,37
機能性,酵母,37
the,白米,37
nan,開発,37
商品,消費者,37
味噌,熟成,37
nan,健康,37
Fig,rice,37
ppm,酵母,37
品質,発酵,37
分離,清酒,37
nan,中国,37
acid,アミノ,37
生産,遺伝子,37
rice,清酒,36
nan,エチル,36
濃度,香気成分,36
乳酸菌,醤油,36
中国,日本,36
Tabl,酵母,36
the,影響,36
ビール,遺伝子,36
rice,was,35
乳酸菌,培地,35
添加,香気成分,35
昭和,醤油,35
日本,清酒,35
焼酎,酒類,35
山田錦,酒造好適米,35
官能評価,添加,35
and,乳酸,35
the,エチル,35
仕込,清酒,35
エステル,酢酸,35
添加,清酒,35
the,清酒酵母,35
味噌,昭和,35
カプロン,酵母,35
the,アミラーゼ,34
活性,麹,34
乳酸菌,添加,34
品種,山田錦,34
研究,遺伝子,34
清酒,測定,34
nan,乳酸菌,34
the,生成,34
nan,酵素,34
測定,試料,34
カプロン,香気成分,34
the,乳酸菌,34
ビール,発酵,34
醸造,麹菌,34
乳酸,酵母,34
nan,伝統,33
Tabl,rice,33
清酒酵母,育種,33
解析,酵母,33
Tabl,清酒,33
生育,酵母,33
ワイン,市場,33
吟醸酒,酒質,33
清酒醸造,酵母,33
acid,酵母,33
育種,親株,33
アミラーゼ,遺伝子,33
ワイン,官能評価,33
日本,昭和,33
and,生産,32
the,精米歩合,32
ワイン,昭和,32
活性,清酒,32
ビール,昭和,32
昭和,研究,32
and,タンパク,32
平成,清酒,32
nan,平成,32
cerevisiae,遺伝子,32
アミノ,添加,32
育種,遺伝子,32
ブドウ,品種,32
タンパク,プロテアーゼ,32
ウイスキー,ビール,32
醤油,食品,32
吟醸酒,昭和,32
the,仕込,32
the,分離,32
the,原料米,32
the,蒸米,32
アミノ,プロテアーゼ,32
活性,生産,32
タンパク,品種,32
酵母,酵素,32
グルタミン,醤油,32
oryzae,醤油,32
カプロン,酢酸,31
発酵,醤油,31
rice,原料米,31
添加,生成,31
Saccharomyces,and,31
研究,醸造,31
味噌,機能性,31
分析,清酒,31
培地,清酒酵母,31
アミノ,発酵,31
アルコール,酵母,31
培地,親株,31
エステル,白酒,31
市場,消費者,31
培地,変異株,31
焼酎,蒸留,31
変異株,清酒酵母,31
rice,蒸米,31
酵素活性,麹菌,31
アミノ酸,酵母,31
味噌,麹,30
リンゴ,清酒,30
and,親株,30
アミノ,味噌,30
oryzae,アミラーゼ,30
カプロン,清酒,30
研究,醤油,30
酸度,香気成分,30
nan,酒質,30
昭和,焼酎,30
アミノ,香気成分,30
原料,醤油,30
品種,酒造好適米,30
日本,歴史,30
官能評価,酸度,30
エステル,酵母,30
乳酸菌,微生物,30
ウイスキー,酒類,30
研究,開発,30
機能性,麹菌,30
写真,日本,30
and,測定,30
清酒,清酒酵母,29
sake,酸度,29
白酒,香気成分,29
Aspergillus,遺伝子,29
乳酸菌,機能性,29
味噌,生成,29
oryzae,清酒,29
and,添加,29
and,生成,29
市場,日本,29
品質,醸造,29
ワイン,輸出,29
活性,醤油,29
製造方法,酵母,29
the,酒質,29
アミノ,酵素,29
エチル,官能評価,29
活性,製麹,29
麹,麹菌,29
分離,親株,29
Fig,sake,29
sake,アミノ,29
nan,アミノ,29
and,焼酎,29
清酒,麹,29
清酒,酢酸,29
蒸米,酵母,29
影響,酵母,29
写真,日本酒,29
ワイン,焼酎,28
活性,生成,28
and,cerevisiae,28
場合,酵母,28
清酒,開発,28
and,清酒酵母,28
活性,測定,28
nan,エステル,28
影響,麹菌,28
影響,清酒,28
Fig,acid,28
nan,原料,28
was,清酒,28
微生物,食品,28
味噌,製麹,28
清酒,熟成,28
乳酸菌,生成,28
リンゴ,ワイン,28
Aspergillus,活性,28
日本,焼酎,28
タンパク,発酵,28
生成,発酵,28
味噌,添加,28
濃度,生成,28
発酵,製造方法,28
商品,清酒,28
acid,乳酸菌,28
DNA,清酒酵母,28
グルコース,培地,28
官能評価,焼酎,28
機能性,食品,28
培地,生育,28
品質,日本酒,28
アミラーゼ,清酒,28
ウイスキー,清酒,28
品質,香気成分,28
ビール,醸造,28
清酒酵母,香気成分,28
and,酢酸,28
製造方法,遺伝子,28
sake,清酒酵母,27
and,成分,27
アミノ,グルタミン,27
遺伝子,醤油,27
DNA,and,27
sake,was,27
Tabl,アミノ,27
官能評価,濃度,27
プロテアーゼ,酵母,27
ワイン,写真,27
nan,タンパク,27
Saccharomyces,遺伝子,27
活性,酵素,27
アミノ,乳酸菌,27
アミノ,培地,27
and,グルコース,27
微生物,製造方法,27
味噌,発酵,27
仕込,味噌,27
微生物,醸造,27
and,味噌,27
昭和,歴史,27
品質,酵母,27
アミラーゼ,生産,27
商品,市場,27
味噌,醸造,27
清酒,蒸米,27
微生物,研究,27
添加,発酵,27
製造方法,麹菌,27
生産,酵母,27
and,ppm,27
and,試料,26
アミノ,グルコース,26
精米歩合,酸度,26
Saccharomyces,分離,26
アミラーゼ,酵素,26
nan,仕込,26
生成,酢酸,26
官能評価,酢酸,26
添加,濃度,26
原料米,精米歩合,26
グルコース,生成,26
発酵,麹,26
ワイン,乳酸菌,26
酵母,開発,26
リンゴ,清酒酵母,26
プロテアーゼ,酵素活性,26
微生物,遺伝子,26
the,デンプン,26
味噌,微生物,26
吟醸酒,消費者,26
DNA,nan,26
酒質,酸度,26
商品,昭和,26
アミラーゼ,デンプン,26
検出,酵母,26
oryzae,味噌,26
場合,清酒,26
デンプン,酵母,26
清酒,清酒醸造,26
and,ブドウ,26
アミラーゼ,タンパク,26
