src,dst,weight
清酒,酵母,119
nan,日本酒,116
the,清酒,112
sake,清酒,111
nan,清酒,108
sake,the,95
rice,the,89
and,the,84
fig,the,80
官能評価,清酒,74
日本,日本酒,72
nan,昭和,65
清酒酵母,酵母,64
ワイン,日本酒,63
and,sake,60
清酒,焼酎,58
清酒,酒質,57
アミノ,清酒,57
and,清酒,57
遺伝子,酵母,53
日本酒,輸出,53
日本酒,消費者,52
the,was,51
the,酵母,51
清酒,酸度,51
市場,日本酒,49
ビール,清酒,48
清酒,酒類,48
tabl,the,47
吟醸酒,清酒,47
分離,酵母,47
エチル,カプロン,47
昭和,清酒,47
nan,酵母,47
nan,吟醸酒,46
the,官能評価,46
the,アミノ,46
清酒,清酒中,46
発酵,酵母,46
酵母,香気成分,45
清酒,香気成分,45
酒母,酵母,45
白米,精米歩合,45
rice,白米,45
アミノ,酵母,44
白米,精米,44
ppm,清酒,44
清酒,濃度,44
nan,杜氏,43
カプロン,カプロン酸エチル,43
acid,the,43
酵母,酸度,43
ビール,日本酒,42
fig,清酒,42
rice,sake,42
精米,精米歩合,41
原料米,清酒,41
アミノ,酸度,41
清酒,醸造,41
清酒,相関,40
sake,官能評価,40
rice,精米歩合,40
ワイン,日本,39
吟醸酒,日本酒,39
sake,酵母,39
清酒,発酵,39
and,酵母,39
sake,tabl,39
日本酒,昭和,38
清酒,試料,38
日本酒,清酒,38
清酒,精米歩合,38
日本酒,海外,38
日本,輸出,37
エチル,清酒,37
清酒,麹菌,37
平成,昭和,37
清酒,生成,37
商品,日本酒,37
酒質,酵母,37
吟醸酒,純米酒,37
table,the,37
タンパク,清酒,36
acid,清酒,36
エチル,カプロン酸エチル,36
清酒,純米酒,36
日本酒,焼酎,36
酵母,麹菌,36
玄米,白米,36
消費者,清酒,36
清酒,白米,36
山田錦,酒造好適米,35
rice,清酒,34
添加,清酒,34
エチル,酢酸,34
活性,酵母,34
and,rice,34
世界,日本酒,34
親株,酵母,34
品種,山田錦,34
酢酸,香気成分,33
清酒酵母,親株,33
分離,清酒,33
the,酸度,33
清酒,測定,33
and,was,32
tabl,清酒,32
アメリカ,日本酒,32
アメリカ,日本,32
エチル,香気成分,32
日本,海外,32
the,濃度,32
the,精米歩合,32
日本酒,蔵元,32
the,白米,32
タンパク,酵母,32
ppm,the,32
仕込,清酒,31
吟醸酒,昭和,31
ワイン,清酒,31
玄米,精米,31
清酒,遺伝子,31
遺伝子,麹菌,31
料理,日本酒,31
rice,精米,31
平成,清酒,31
日本,清酒,31
sake,was,31
nan,醸造,31
アミノ,アミノ酸,31
吟醸酒,酒質,31
nan,ワイン,30
nan,消費者,30
and,fig,30
fig,rice,30
ビール,ワイン,30
カプロン,酵母,30
品種,酒造好適米,30
タンパク,麹菌,30
清酒,結果,30
リンゴ,清酒,30
清酒,醸協,30
the,試料,30
リンゴ,酵母,29
写真,日本酒,29
酵母,醸造,29
海外,輸出,29
昭和,杜氏,29
カプロン,清酒,29
発酵,醸造,29
レストラン,日本酒,29
sake,酸度,29
清酒,酒粕,28
oryzae,麹菌,28
分析,清酒,28
清酒,清酒酵母,28
清酒,酢酸,28
イソアミル,酢酸,28
品質,日本酒,28
sake,table,28
メーカー,日本酒,28
nan,麹菌,28
rice,tabl,28
the,原料米,28
エチル,酵母,27
nan,焼酎,27
市場,消費者,27
清酒,麹,27
nan,研究,27
協会,酵母,27
アミラーゼ,活性,27
was,清酒,27
活性炭,清酒,27
清酒,熟成,27
sake,アミノ,27
清酒酵母,遺伝子,27
sake,試料,26
ビール,酒類,26
生成,酵母,26
商品,清酒,26
酢酸,酵母,26
nan,ビール,26
the,発酵,26
明治,昭和,26
影響,清酒,26
the,影響,26
oryzae,酵母,26
カプロン,酢酸,26
日本酒,純米酒,26
カプロン酸エチル,酵母,26
清酒,老香,26
メーカー,消費者,26
the,山田錦,26
山田錦,酒米,26
吟醸酒,消費者,26
レストラン,日本,26
グルテリン,タンパク,25
清酒酵母,育種,25
有機酸,清酒,25
アミラーゼ,清酒,25
活性,清酒,25
写真,日本,25
ビール,焼酎,25
日本酒,飲酒,25
nan,純米酒,25
仕込,酵母,25
nan,酒質,25
場合,清酒,25
増加,清酒,25
カプロン,香気成分,25
rice,was,25
the,蒸米,25
吟醸酒,精米歩合,25
fig,sake,25
dna,酵母,25
商品,消費者,25
培地,酵母,25
メーカー,商品,25
原料米,精米歩合,25
山田錦,精米歩合,24
and,tabl,24
アミラーゼ,グルコアミラーゼ,24
rice,山田錦,24
アミノ酸,清酒,24
商品,市場,24
リンゴ,清酒酵母,24
製成酒,酵母,24
変異株,清酒酵母,24
nan,歴史,24
the,香気成分,24
ppm,sake,24
sake,清酒酵母,24
清酒,清酒醸造,24
the,相関,24
官能評価,香気成分,24
結果,酵母,24
ワイン,輸出,24
oryzae,タンパク,24
メーカー,市場,24
sake,日本酒,24
清酒,酒造好適米,24
タンパク,品種,24
山田錦,清酒,24
清酒,貯蔵,24
活性,麹菌,24
sake,濃度,24
rice,玄米,24
品質,清酒,24
清酒,着色度,23
分離,親株,23
清酒,製成酒,23
ワイン,海外,23
sake,製成酒,23
精米歩合,酸度,23
アミラーゼ,麹菌,23
the,精米,23
日本酒,酒質,23
rice,原料米,23
市場,日本,23
the,活性,23
oryzae,活性,23
acid,アミノ,23
日本酒度,清酒,23
ppm,酵母,23
the,製成酒,23
アメリカ,輸出,23
rice,酒造好適米,23
nan,品質,23
日本酒,杜氏,22
acid,sake,22
育種,酵母,22
清酒,酒母,22
酒質,酸度,22
ワイン,世界,22
世界,日本,22
日本酒,歴史,22
rice,蒸米,22
活性,酵素活性,22
原料米,白米,22
アセトアルデヒド,清酒,22
グルコアミラーゼ,活性,22
全国新酒鑑評会,出品酒,22
oryzae,清酒,22
清酒醸造,酵母,22
清酒,蒸米,22
rice,品種,22
酒母,酸度,22
and,table,22
変異株,親株,22
酒母,酒質,22
活性,遺伝子,22
nan,日本,22
タンパク,酒造好適米,22
アミラーゼ,酵母,22
nan,酒造り,21
日本酒度,酸度,21
エステル,香気成分,21
精米歩合,酵母,21
吟醸酒,酵母,21
tabl,酸度,21
タンパク,遺伝子,21
ワイン,市場,21
カプロン酸エチル,清酒,21
the,玄米,21
清酒,研究,21
the,測定,21
the,アミノ酸,21
五百万石,山田錦,21
清酒,親株,21
nan,発酵,21
アミロペクチン,デンプン,21
イソアミル,酵母,21
清酒酵母,香気成分,21
培地,清酒酵母,21
濃度,酵母,21
官能評価,酸度,21
原料米,酵母,21
oryzae,遺伝子,21
玄米,精米歩合,21
the,清酒醸造,20
the,添加,20
アミラーゼ,プロテアーゼ,20
昭和,酵母,20
タンパク,山田錦,20
乳酸,清酒,20
成分,清酒,20
分離,清酒酵母,20
白米,酒造好適米,20
アミラーゼ,酸性,20
消費者,純米酒,20
出品酒,審査,20
nan,技術,20
エチル,官能評価,20
山田錦,蒸米,20
and,濃度,20
杜氏,酒造り,20
tabl,アミノ,20
吟醸酒,酸度,20
酸度,香気成分,20
ワイン,料理,20
使用,清酒,20
タンパク,活性,20
table,清酒,20
清酒,火入,19
レストラン,ワイン,19
sake,白米,19
心白,酒造好適米,19
イソアミル,カプロン,19
酵母,麹,19
the,清酒酵母,19
the,カプロン酸エチル,19
測定,試料,19
蒸米,酵母,19
精米歩合,酒造好適米,19
アミロペクチン,アミロース,19
and,白米,19
the,酒造好適米,19
解析,麹菌,19
イソアミル,香気成分,19
the,酒質,19
the,貯蔵,19
酒造好適米,酵母,19
rice,発酵,19
the,酵素活性,19
the,有機酸,19
山田錦,酵母,19
発酵,酒質,19
山田錦,心白,19
品質,昭和,19
審査,日本酒,19
nan,精米歩合,19
昭和,研究,19
the,エチル,19
グルコース,清酒,19
官能評価,酵母,19
焼酎,酵母,19
清酒,精米,19
グルコアミラーゼ,麹菌,19
平成,日本酒,19
有機酸,酵母,19
acid,酵母,19
ビール,日本,19
the,消化性,19
変異株,酵母,18
品種,酒造適性,18
sake,分離,18
tabl,官能評価,18
nan,アミノ,18
and,清酒酵母,18
アミノ,原料米,18
oryzae,アミラーゼ,18
世界,海外,18
acid,ppm,18
山田錦,精米,18
清酒,生酒,18
and,発酵,18
焼酎,輸出,18
タンパク,原料米,18
レストラン,輸出,18
イソアミル,エチル,18
アミノ,タンパク,18
nan,鑑評会,18
acid,and,18
rice,消化性,18
日本酒,酵母,18
fig,試料,18
日本,焼酎,18
原料米,山田錦,18
日本酒,酒類,18
日本酒,発酵,18
sake,貯蔵,18
五百万石,品種,18
rice,試料,18
清酒酵母,発酵,18
sake,エチル,18
リンゴ,親株,18
アミロース,デンプン,18
価格,日本酒,18
価格,消費者,18
山田錦,酒造適性,18
カプロン酸エチル,香気成分,18
全国新酒鑑評会,審査,18
nan,平成,18
レストラン,写真,18
nan,明治,17
品質,酵母,17
乳酸菌,清酒,17
官能評価,添加,17
出品酒,清酒,17
原料米,酒造好適米,17
写真,輸出,17
デンプン,蒸米,17
nan,酸度,17
出品酒,酒質,17
杜氏,清酒,17
rice,デンプン,17
清酒,酸性,17
リンゴ,分離,17
エステル,酢酸,17
品質,醸造,17
市場,輸出,17
and,官能評価,17
原料米,酒質,17
日本,歴史,17
nan,蔵元,17
品質,発酵,17
添加,香気成分,17
吟醸酒,香気成分,17
小仕込試験,清酒酵母,17
審査,清酒,17
分離,培地,17
清酒,輸出,17
nan,sake,17
純米酒,酒質,17
五百万石,酒造好適米,17
and,アミノ,17
原料米,吟醸酒,17
育種,親株,17
昭和,酒質,17
tabl,table,17
プロテアーゼ,酸性,17
品種,精米歩合,17
ワイン,焼酎,17
白米,蒸米,17
the,カプロン,17
吟醸酒,審査,17
カプロン,官能評価,17
タンパク,精米歩合,17
イソアミル,清酒,17
分析,試料,17
清酒,温度,17
官能評価,酢酸,17
アメリカ,レストラン,16
吟醸酒,品質,16
原料米,品種,16
ビール,市場,16
全国新酒鑑評会,吟醸酒,16
nan,官能評価,16
nan,酒造好適米,16
カプロン酸エチル,酢酸,16
タンパク,発酵,16
酵母,醸協,16
日本,昭和,16
日本酒度,酵母,16
清酒酵母,酸度,16
消費者,酒質,16
メーカー,昭和,16
乳酸菌,酵母,16
昭和,鑑評会,16
カプロン酸エチル,清酒酵母,16
sake,酒粕,16
アミノ,生成,16
製成酒,酒質,16
品種,酒米,16
活性,麹,16
吟醸酒,杜氏,16
グルコアミラーゼ,酸性,16
原料米,精米,16
acid,有機酸,16
dna,遺伝子,16
カプロン,吟醸酒,16
添加,酵母,16
協会,清酒,16
清酒酵母,酢酸,16
昭和,歴史,16
昭和,消費者,16
吟醸酒,市場,16
小仕込試験,酵母,16
蒸米,酒質,16
焼酎,酒類,16
商品,昭和,16
生成,香気成分,16
rice,五百万石,16
nan,飲酒,16
仕込,酒母,16
イソアミル,カプロン酸エチル,16
酒質,香気成分,16
酒類,酵母,16
官能評価,酒質,16
ワイン,写真,16
ppm,添加,16
and,分離,15
分離,香気成分,15
解析,遺伝子,15
デンプン,山田錦,15
rice,吸水性,15
レストラン,市場,15
消化性,酒造好適米,15
白米,試料,15
the,分析,15
清酒酵母,製成酒,15
山田錦,麹菌,15
the,酸性,15
カプロン酸エチル,吟醸香,15
nan,酒母,15
焼酎,発酵,15
the,着色度,15
the,増加,15
the,生成,15
グルコース,酵母,15
酸度,醸協,15
