src,dst,weight
and,the,200
遺伝子,酵母,141
清酒,酵母,139
and,酵母,136
the,酵母,136
the,was,131
nan,昭和,128
nan,酵母,128
nan,日本酒,126
fig,the,125
発酵,酵母,119
nan,清酒,119
ブドウ,ワイン,119
the,清酒,118
nan,研究,117
rice,the,115
sake,清酒,115
sake,the,110
乳酸菌,酵母,108
nan,ワイン,105
清酒酵母,酵母,104
遺伝子,麹菌,103
oryzae,麹菌,101
nan,醸造,99
nan,白酒,96
酵母,香気成分,93
味噌,醤油,92
アミノ,酵母,91
nan,ビール,88
ビール,酵母,87
酵母,麹菌,87
and,was,86
活性,酵母,86
分離,酵母,83
生成,酵母,82
ワイン,酵母,79
acid,the,79
日本,日本酒,77
ビール,ワイン,75
tabl,the,75
the,アミノ,75
活性,麹菌,75
the,官能評価,74
官能評価,清酒,74
清酒,焼酎,74
cerevisiae,酵母,74
酵母,醸造,73
nan,微生物,73
the,濃度,73
nan,麹菌,72
エチル,カプロン,72
発現,遺伝子,72
nan,醤油,71
and,sake,71
saccharomyces,酵母,71
親株,酵母,70
nan,発酵,70
アミノ,アミノ酸,70
培地,酵母,70
cerevisiae,saccharomyces,70
yeast,酵母,69
ワイン,日本酒,69
dna,遺伝子,67
タンパク,麹菌,67
味噌,麹菌,67
dna,酵母,66
the,香気成分,66
oryzae,遺伝子,65
アミラーゼ,活性,65
the,yeast,65
アミノ,タンパク,64
タンパク,遺伝子,64
ビール,清酒,64
and,清酒,63
the,活性,63
活性,酵素活性,63
アミノ,清酒,62
タンパク,酵母,62
and,ワイン,61
and,活性,60
and,fig,60
nan,日本,60
エチル,酢酸,59
ビール,ホップ,59
aspergillus,oryzae,59
table,the,59
エチル,香気成分,59
nan,焼酎,58
清酒,酒質,58
nan,技術,57
nan,吟醸酒,57
nan,味噌,57
ワイン,日本,57
oryzae,活性,57
プロテアーゼ,活性,56
昭和,清酒,56
清酒,酸度,56
添加,酵母,56
酒母,酵母,56
味噌,酵母,56
解析,遺伝子,56
清酒,酒類,55
nan,杜氏,55
日本酒,輸出,55
平成,昭和,55
nan,黄酒,55
味噌,食塩,54
酒質,酵母,54
酵母,酸度,54
醤油,麹菌,54
官能評価,香気成分,53
乳酸菌,味噌,53
育種,酵母,53
nan,バイオテクノロジー,53
エステル,香気成分,53
研究,酵母,53
and,発酵,53
and,培地,53
日本酒,消費者,52
koji,the,52
and,rice,51
ゲノム,遺伝子,51
rice,白米,50
酢酸,香気成分,50
変異株,親株,50
変異株,酵母,50
aspergillus,麹菌,49
アミノ,ペプチド,49
アミノ,酸度,49
市場,日本酒,49
活性,遺伝子,49
アミラーゼ,麹菌,49
and,アミノ,49
清酒,麹菌,49
仕込,酵母,49
ビール,焼酎,48
acid,and,48
ビール,日本酒,48
タンパク,活性,48
rice,sake,48
酢酸,酵母,48
白酒,黄酒,47
吟醸酒,清酒,47
the,添加,47
the,試料,47
清酒,醸造,47
発酵,醸造,47
the,焼酎,47
プロテアーゼ,麹菌,47
白米,精米歩合,46
and,遺伝子,46
アミラーゼ,グルコアミラーゼ,46
was,酵母,46
清酒,濃度,46
清酒,香気成分,46
the,酸度,46
the,発酵,46
ビール,酒類,46
酵母,醤油,46
日本,輸出,46
and,tabl,46
nan,歴史,46
sake,酵母,46
fig,清酒,46
清酒酵母,親株,45
アミラーゼ,酵母,45
nan,品質,45
微生物,発酵,45
ppm,the,45
発現,酵母,45
解析,麹菌,45
焼酎,香気成分,45
濃度,酵母,45
清酒酵母,遺伝子,45
ワイン,清酒,44
the,ワイン,44
and,yeast,44
oryzae,タンパク,44
原料米,清酒,44
白米,精米,44
酵素,麹菌,44
ppm,清酒,44
味噌,活性,43
the,培地,43
グルコース,酵母,43
アミノ,活性,43
製麹,麹菌,43
発現,麹菌,43
the,グルコース,43
rice,精米歩合,43
ワイン,品種,42
増殖,酵母,42
研究,麹菌,42
アミノ,生成,42
sake,官能評価,42
nan,酒類,42
生産,麹菌,42
味噌,食品,42
清酒,発酵,41
タンパク,発現,41
sake,tabl,41
the,測定,41
発酵,香気成分,41
生成,香気成分,41
焼酎,酵母,41
乳酸菌,麹菌,41
タンパク,清酒,41
官能評価,酵母,41
培養,酵母,41
and,分離,41
精米,精米歩合,41
oryzae,酵母,41
昭和,酵母,41
the,酵素活性,41
and,濃度,41
アミラーゼ,プロテアーゼ,41
清酒,遺伝子,40
乳酸菌,生育,40
nan,香気成分,40
アミノ,醤油,40
nan,食品,40
エステル,エチル,40
ビール,日本,40
日本酒,昭和,40
日本酒,焼酎,40
清酒,精米歩合,40
味噌,発酵食品,40
the,アミノ酸,40
nan,消費者,40
and,乳酸菌,40
リンゴ,酵母,40
分離,培地,40
微生物,酵母,40
乳酸菌,分離,39
清酒,白米,39
微生物,麹菌,39
吟醸酒,日本酒,39
ゲノム,麹菌,39
エチル,酵母,39
nan,遺伝子,39
乳酸,乳酸菌,39
ワイン,醸造,39
グルコアミラーゼ,活性,39
原料,発酵,39
ワイン,白酒,39
焼酎,発酵,39
消費者,清酒,39
エチル,白酒,38
商品,日本酒,38
the,白米,38
acid,清酒,38
and,官能評価,38
ブドウ,酵母,38
ppm,酵母,38
日本酒,清酒,38
アミラーゼ,酵素活性,38
アミノ,遺伝子,38
原料,焼酎,38
培地,培養,38
清酒,試料,38
ワイン,香気成分,38
成分,香気成分,38
微生物,醤油,38
乳酸菌,発酵,38
遺伝子,酵素,38
清酒,生成,38
日目,酵母,38
酵母,麹,37
nan,中国,37
味噌,熟成,37
機能性,酵母,37
and,香気成分,37
nan,開発,37
醤油,食塩,37
吟醸酒,純米酒,37
分離,清酒,37
アミノ,麹菌,37
acid,アミノ,37
品質,発酵,37
fig,rice,37
エチル,清酒,37
生産,遺伝子,37
商品,消費者,37
nan,健康,37
the,有機酸,37
rice,清酒,36
清酒,純米酒,36
ビール,遺伝子,36
tabl,酵母,36
濃度,香気成分,36
中国,日本,36
焼酎,芋焼酎,36
the,エチル,36
乳酸菌,醤油,36
the,影響,36
ゲノム,解析,36
nan,エチル,36
カプロン,酵母,35
添加,清酒,35
仕込,清酒,35
味噌,昭和,35
有機酸,酵母,35
昭和,醤油,35
官能評価,添加,35
the,アミラーゼ,35
the,清酒酵母,35
the,生成,35
山田錦,酒造好適米,35
焼酎,酒類,35
and,乳酸,35
rice,was,35
乳酸菌,培地,35
エステル,酢酸,35
日本,清酒,35
添加,香気成分,35
清酒,結果,34
結果,酵母,34
nan,乳酸菌,34
清酒,測定,34
測定,試料,34
研究,遺伝子,34
ビール,発酵,34
nan,酵素,34
醸造,麹菌,34
the,乳酸菌,34
乳酸,酵母,34
品種,山田錦,34
活性,麹,34
乳酸菌,添加,34
カプロン,香気成分,34
解析,酵母,33
清酒酵母,育種,33
tabl,清酒,33
ワイン,市場,33
アミラーゼ,遺伝子,33
泡盛,焼酎,33
the,日目,33
rice,精米,33
吟醸酒,酒質,33
ワイン,官能評価,33
清酒醸造,酵母,33
日本,昭和,33
rice,tabl,33
acid,酵母,33
生育,酵母,33
sake,was,33
育種,親株,33
酢酸菌,食酢,33
平成,清酒,32
ウイスキー,ビール,32
sake,酸度,32
吟醸酒,昭和,32
cerevisiae,遺伝子,32
ビール,昭和,32
タンパク,品種,32
ワイン,昭和,32
醤油,食品,32
the,精米歩合,32
アミノ,添加,32
グルタミン,醤油,32
ブドウ,品種,32
and,saccharomyces,32
the,蒸米,32
タンパク,プロテアーゼ,32
nan,平成,32
and,タンパク,32
the,原料米,32
and,生産,32
the,仕込,32
昭和,研究,32
the,分離,32
グルコアミラーゼ,麹菌,32
活性,生産,32
清酒,酒粕,32
アミノ,プロテアーゼ,32
育種,遺伝子,32
and,table,32
oryzae,醤油,32
活性,清酒,32
乳酸菌,増殖,32
酵母,酵素,32
yeast,清酒酵母,32
カプロン,酢酸,31
増加,清酒,31
sake,アミノ,31
日本酒,飲酒,31
分析,清酒,31
変異株,清酒酵母,31
培地,変異株,31
味噌,機能性,31
料理,日本酒,31
アミノ酸,酵母,31
rice,原料米,31
培地,清酒酵母,31
焼酎,蒸留,31
rice,蒸米,31
アミノ,発酵,31
発酵,醤油,31
市場,消費者,31
fig,sake,31
添加,生成,31
研究,醸造,31
培地,親株,31
エステル,白酒,31
酵素活性,麹菌,31
ウイスキー,酒類,30
リンゴ,清酒,30
nan,酒質,30
昭和,杜氏,30
アミノ,香気成分,30
乳酸菌,微生物,30
研究,開発,30
機能性,麹菌,30
oryzae,アミラーゼ,30
原料,醤油,30
酸度,香気成分,30
官能評価,酸度,30
and,親株,30
味噌,麹,30
アミノ,味噌,30
and,測定,30
品種,酒造好適米,30
日本,歴史,30
昭和,焼酎,30
カプロン,清酒,30
koji,酵素活性,30
写真,日本,30
エステル,酵母,30
研究,醤油,30
the,酒質,29
acid,有機酸,29
