src,dst,weight
ワイン,酵母・微生物,370
ワイン,清酒,278
ビール,ワイン,270
アミノ酸・タンパク質,ワイン,121
アルコール飲料,ワイン,114
ビール,酵母・微生物,100
ワイン,農産物・果実,90
ワイン,焼酎,83
清酒,酵母・微生物,68
アミノ酸・タンパク質,酵母・微生物,59
ビール,清酒,58
ワイン,醤油,52
アルコール飲料,ビール,37
清酒,焼酎,35
ワイン,発酵乳・乳製品,33
農産物・果実,酵母・微生物,33
アルコール飲料,清酒,32
ワイン,味噌,22
焼酎,酵母・微生物,19
ワイン,副産物・バイオマス,19
ビール,農産物・果実,16
アミノ酸・タンパク質,ビール,14
酵母・微生物,醤油,12
味噌,醤油,11
アミノ酸・タンパク質,農産物・果実,11
アルコール飲料,酵母・微生物,11
ワイン,発酵食品,10
アルコール飲料,焼酎,10
アミノ酸・タンパク質,清酒,9
発酵乳・乳製品,酵母・微生物,9
清酒,醤油,8
ビール,醤油,7
焼酎,農産物・果実,5
アルコール飲料,発酵乳・乳製品,5
ビール,焼酎,5
副産物・バイオマス,酵母・微生物,5
清酒,発酵乳・乳製品,5
清酒,農産物・果実,5
副産物・バイオマス,清酒,4
アルコール飲料,農産物・果実,4
アミノ酸・タンパク質,醤油,3
発酵乳・乳製品,醤油,3
ビール,発酵乳・乳製品,3
ビール,副産物・バイオマス,3
アミノ酸・タンパク質,副産物・バイオマス,3
