src,dst,weight
清酒,酵母・微生物,648
アミノ酸・タンパク質,清酒,365
ビール,清酒,317
アミノ酸・タンパク質,酵母・微生物,253
ワイン,清酒,245
清酒,焼酎,163
アルコール飲料,ビール,142
アルコール飲料,清酒,138
清酒,醤油,106
アルコール飲料,ワイン,104
ビール,酵母・微生物,96
アルコール飲料,焼酎,90
ビール,ワイン,86
副産物・バイオマス,清酒,75
ワイン,酵母・微生物,70
アルコール飲料,酵母・微生物,65
ビール,焼酎,49
味噌,清酒,48
焼酎,酵母・微生物,46
清酒,発酵食品,42
清酒,農産物・果実,37
ワイン,焼酎,35
味噌,醤油,33
アミノ酸・タンパク質,ビール,30
副産物・バイオマス,酵母・微生物,29
アルコール飲料,醤油,26
酵母・微生物,醤油,23
清酒,発酵乳・乳製品,19
アルコール飲料,農産物・果実,18
ビール,醤油,18
アルコール飲料,発酵乳・乳製品,18
焼酎,農産物・果実,14
アルコール飲料,味噌,12
発酵食品,酵母・微生物,11
アミノ酸・タンパク質,アルコール飲料,11
アミノ酸・タンパク質,副産物・バイオマス,11
アルコール飲料,副産物・バイオマス,10
ビール,発酵乳・乳製品,10
アミノ酸・タンパク質,ワイン,10
ワイン,発酵乳・乳製品,10
ワイン,醤油,9
農産物・果実,酵母・微生物,9
ワイン,農産物・果実,9
アミノ酸・タンパク質,醤油,9
アミノ酸・タンパク質,焼酎,8
ビール,副産物・バイオマス,7
発酵食品,醤油,7
焼酎,醤油,7
副産物・バイオマス,焼酎,7
味噌,酵母・微生物,6
アルコール飲料,発酵食品,6
ビール,味噌,6
ビール,農産物・果実,6
発酵乳・乳製品,酵母・微生物,5
ワイン,副産物・バイオマス,5
ビール,発酵食品,5
副産物・バイオマス,発酵食品,5
発酵乳・乳製品,醤油,4
アミノ酸・タンパク質,農産物・果実,3
副産物・バイオマス,醤油,3
焼酎,発酵乳・乳製品,3
アミノ酸・タンパク質,味噌,3
発酵乳・乳製品,発酵食品,3
