No.,相対PASS,発行年,巻数,号数,開始ページ,終了ページ,論文タイトル,著者,file_name,HPリンク先,PDFリンク先,file_path,num_pages,llm_keywords,primary_keywords,secondary_keywords,featured_keywords,対象物,研究タイプ,対象物_根拠,研究タイプ_根拠
1,日本醸造協会誌/83巻/1号/83_1.pdf,1988,83,1,1,1,醸造学会のスタート,村上 英也,83_1.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_1/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_1/_pdf/-char/ja,/Users/yoichiro/Desktop/PDFキーワード/pdfs/日本醸造協会誌/83巻/1号/83_1.pdf,1,醸造学会; 日本醸造協会; 科学的研究; 情報交換; 学会活動; 国際交流; 生物科学; 会誌; 醸造学; 醸酵学,醸造; 学会; 分流; 論文; エネルギー; 捕えよう; 昨年; 学術; ournal; 発表; 負は; 忽ち; 風び; ンポジウム; 画する; 協会; カント; 仕切り; 願い; 捕え,両会; 物象; 後衛; soci; 前衛; 分派; 大手町; 思い; 然し; 進み; 発行; 連繋; 交流; 答える; 査読; 科学; 果す; 学問; 問い; 馴染み,醸造学会; 日本醸造協会; 科学的研究; 情報交換; 学会活動; 国際交流; 生物科学; 会誌; 醸造学; 醸酵学; 醸造; 学会; 分流; 論文; エネルギー; 捕えよう; 昨年; 学術; ournal; 発表; 負は; 忽ち; 風び; ンポジウム; 画する; 協会; カント; 仕切り; 願い; 捕え; 両会; 物象; 後衛; soci; 前衛; 分派; 大手町; 思い; 然し; 進み; 発行; 連繋; 交流; 答える; 査読; 科学; 果す; 学問; 問い; 馴染み,清酒,醸造工程・製造技術,清酒:日本醸造協会|日本醸造協会,醸造工程・製造技術:醸造学会|日本醸造協会|醸造学|醸造|醸造学会|日本醸造協会
2,日本醸造協会誌/83巻/1号/83_2.pdf,1988,83,1,2,7,青森県における酒造好適米の育成,山内 嘉一,83_2.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_2/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_2/_pdf/-char/ja,/Users/yoichiro/Desktop/PDFキーワード/pdfs/日本醸造協会誌/83巻/1号/83_2.pdf,6,酒造好適米; 育成; 青森県; 品種改良; 古城錦; 豊盃; 華吹雪; 精米; 吸水; 消化性,吹雪; 精米; 古城; 歩合; 青森; 吸水; ヒカリ; 試験; 及び; アキ; 五百; 育成; 収量; 酒造; 好適; いもち病; 消化; 経過; 早く; トワダ,玄米; 上槽; 施肥; 多かっ; 重く; 無効; 成熟; 来歴; 白米; 特性; 生育; 良い; 短かく; 昭和; 良く; 優れ; 倒伏; 出穂; 抵抗; 早い,酒造好適米; 育成; 青森県; 品種改良; 古城錦; 豊盃; 華吹雪; 精米; 吸水; 消化性; 吹雪; 古城; 歩合; 青森; ヒカリ; 試験; 及び; アキ; 五百; 収量; 酒造; 好適; いもち病; 消化; 経過; 早く; トワダ; 玄米; 上槽; 施肥; 多かっ; 重く; 無効; 成熟; 来歴; 白米; 特性; 生育; 良い; 短かく; 昭和; 良く; 優れ; 倒伏; 出穂; 抵抗; 早い,農産物・果実; 清酒,その他（研究タイプ）,農産物・果実:酒造好適米|精米|精米|玄米|白米|酒造好適米; 清酒:酒造好適米|酒造|酒造好適米|酒造,
3,日本醸造協会誌/83巻/1号/83_8.pdf,1988,83,1,8,16,酒造原料米の重量分布,丸山 新次,83_8.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_8/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_8/_pdf/-char/ja,/Users/yoichiro/Desktop/PDFキーワード/pdfs/日本醸造協会誌/83巻/1号/83_8.pdf,9,酒造原料米; 米粒重量; 重量分布; 評価; 測定法; 電子天びん; マイクロコンピュータ; サンプルサイズ; 中心重; 偏差,精米; 重量; 損失; 歩合; 砕米; 分布; 見かけ; 整粒; 白米; モード; 無効; サイズ; 中心; 吟醸; 平均; サンプル; 玄米; 米粒; 天びん; 粒数,水分; 推移; 称する; 一般; 計算; サンプリング; 補正; 相関; 採用; 偏差; 少ない; 多い; 表わす; 示す; 関係; 誤差; 及び; 生れ; 試料; 小さく,酒造原料米; 米粒重量; 重量分布; 評価; 測定法; 電子天びん; マイクロコンピュータ; サンプルサイズ; 中心重; 偏差; 精米; 重量; 損失; 歩合; 砕米; 分布; 見かけ; 整粒; 白米; モード; 無効; サイズ; 中心; 吟醸; 平均; サンプル; 玄米; 米粒; 天びん; 粒数; 水分; 推移; 称する; 一般; 計算; サンプリング; 補正; 相関; 採用; 少ない; 多い; 表わす; 示す; 関係; 誤差; 及び; 生れ; 試料; 小さく,農産物・果実; 清酒,品質評価・官能評価; 成分分析・物性評価,農産物・果実:酒造原料米|米粒重量|精米|砕米|白米|玄米; 清酒:酒造原料米|吟醸|酒造原料米|吟醸,品質評価・官能評価:評価|評価; 成分分析・物性評価:測定法|測定法
4,日本醸造協会誌/83巻/1号/83_17.pdf,1988,83,1,17,24,ホスホリラーゼ-その作用をめぐって,小林 幹彦; 一島 英治,83_17.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_17/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_17/_pdf/-char/ja,/Users/yoichiro/Desktop/PDFキーワード/pdfs/日本醸造協会誌/83巻/1号/83_17.pdf,8,ホスホリラーゼ; デンプン; グリコーゲン; グルコース-1-リン酸; 酵素; 一次構造; 活性調節機構; 微生物; 多糖合成; plp,ホスホリラーゼ; plp; 酵素; グリコーゲン; 部位; リン酸; 筋肉; fletterick; 結合; 活性; ャガイモ; グルカン; biochemistry; ウサギ; スホリラーゼ; アミノ; サブユニット; 基質; ホリラーゼ; 反応,ホスホ; リラ; デンプン; madsen; ジャガイモ; 構造; am; fischer; シクロデキストリン; 末端; マルトデキストリン; ダイマー; graves; 作用; kobayashi; 分岐; 合成; 骨格; polymerization; palm,ホスホリラーゼ; デンプン; グリコーゲン; グルコース-1-リン酸; 酵素; 一次構造; 活性調節機構; 微生物; 多糖合成; plp; 部位; リン酸; 筋肉; fletterick; 結合; 活性; ャガイモ; グルカン; biochemistry; ウサギ; スホリラーゼ; アミノ; サブユニット; 基質; ホリラーゼ; 反応; ホスホ; リラ; madsen; ジャガイモ; 構造; am; fischer; シクロデキストリン; 末端; マルトデキストリン; ダイマー; graves; 作用; kobayashi; 分岐; 合成; 骨格; polymerization; palm,酵母・微生物,微生物・遺伝子関連,酵母・微生物:微生物|微生物,微生物・遺伝子関連:微生物|微生物
5,日本醸造協会誌/83巻/1号/83_25.pdf,1988,83,1,25,28,吟醸酒を市販して25年,萱島 須磨自,83_25.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_25/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_25/_pdf/-char/ja,/Users/yoichiro/Desktop/PDFキーワード/pdfs/日本醸造協会誌/83巻/1号/83_25.pdf,4,吟醸酒; 市販; 歴史; 品評会; 製造原価; 酒税法改正; 秘蔵酒; 貯蔵; 香味; 価格,吟醸; 秘蔵; 古酒; 価格; 市販; 発売; 箱入; 言う; 当社; 従価; 醸酒; by; 酒税; 昭和; 級別; 造り; ロスト; 出来; 原価; 時代,モーク; 来る; 醸造; 全く; 批評; 売る; 土蔵; 大分; マージン; 悪く; 純米; 酒造; 小売; 世間; 世人; 品質; 熟語; 試み; アップ; 考え,吟醸酒; 市販; 歴史; 品評会; 製造原価; 酒税法改正; 秘蔵酒; 貯蔵; 香味; 価格; 吟醸; 秘蔵; 古酒; 発売; 箱入; 言う; 当社; 従価; 醸酒; by; 酒税; 昭和; 級別; 造り; ロスト; 出来; 原価; 時代; モーク; 来る; 醸造; 全く; 批評; 売る; 土蔵; 大分; マージン; 悪く; 純米; 酒造; 小売; 世間; 世人; 品質; 熟語; 試み; アップ; 考え,清酒; 農産物・果実,醸造工程・製造技術; 保存・安定性; 品質評価・官能評価; 歴史・文化・経済,清酒:吟醸酒|吟醸|純米|酒造|吟醸酒|吟醸; 農産物・果実:純米|純米,醸造工程・製造技術:製造原価|醸造|製造原価|醸造; 保存・安定性:貯蔵|貯蔵; 品質評価・官能評価:品質|品質; 歴史・文化・経済:歴史|歴史
6,日本醸造協会誌/83巻/1号/83_29.pdf,1988,83,1,29,29,お答えします,伊藤 清,83_29.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_29/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_29/_pdf/-char/ja,/Users/yoichiro/Desktop/PDFキーワード/pdfs/日本醸造協会誌/83巻/1号/83_29.pdf,1,活性炭; 香気成分; 吸着; 吟醸香; 酢酸イソアミル; カプロン酸エチル; 蒸発; 低温; エタノール; バランス,吸着; 香気; 成分; 散逸; 吟醸; 蒸発; 醸香; バランス; 思い; エタノール; 殆んど; イソアミル; 活性; エチル; 引き留める; 物質; 逃げだし; エステル; 見いだせる; アセトアルデヒド,引き換え; 見渡せ; 具合い; 酢酸; 上槽; 損ない; 性質; 失わ; 極力; 空気; 親和; 原因; 逸し; 持っ; ニール; 質問; 香り; 積ま; 悪い; 従っ,活性炭; 香気成分; 吸着; 吟醸香; 酢酸イソアミル; カプロン酸エチル; 蒸発; 低温; エタノール; バランス; 香気; 成分; 散逸; 吟醸; 醸香; 思い; 殆んど; イソアミル; 活性; エチル; 引き留める; 物質; 逃げだし; エステル; 見いだせる; アセトアルデヒド; 引き換え; 見渡せ; 具合い; 酢酸; 上槽; 損ない; 性質; 失わ; 極力; 空気; 親和; 原因; 逸し; 持っ; ニール; 質問; 香り; 積ま; 悪い; 従っ,清酒; アルコール飲料,品質評価・官能評価,清酒:吟醸香|吟醸香|吟醸|吟醸香|吟醸香|吟醸; アルコール飲料:エタノール|エタノール|エタノール,品質評価・官能評価:香気成分|香気|香気成分|香気
7,日本醸造協会誌/83巻/1号/83_30.pdf,1988,83,1,30,36,味噌醸造におけるα化米の利用,大西 邦男,83_30.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_30/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_30/_pdf/-char/ja,/Users/yoichiro/Desktop/PDFキーワード/pdfs/日本醸造協会誌/83巻/1号/83_30.pdf,7,α化米; 味噌醸造; 製麹; 減塩味噌; 酵母; 発酵促進; 蒸米工程; 合理化; 吸水性; 技術開発,エタノール; 米穀; 浸漬; 蒸米; 添加; 吸水; 水分; 酵母; 食塩; コージ; 製麹; 生成; 品質; 混合; 用途; 米麹; 粘結; 特定; 謎解き; 仕込み,使用; 濃度; タノール; 邦男; 塊状; 処理; タンク; 製造; 粘り; 試験; 発酵; ん返し; ハイコージ; 活性; アルコール; 酵素; 示す; 朱美; 大西; 発想,α化米; 味噌醸造; 製麹; 減塩味噌; 酵母; 発酵促進; 蒸米工程; 合理化; 吸水性; 技術開発; エタノール; 米穀; 浸漬; 蒸米; 添加; 吸水; 水分; 食塩; コージ; 生成; 品質; 混合; 用途; 米麹; 粘結; 特定; 謎解き; 仕込み; 使用; 濃度; タノール; 邦男; 塊状; 処理; タンク; 製造; 粘り; 試験; 発酵; ん返し; ハイコージ; 活性; アルコール; 酵素; 示す; 朱美; 大西; 発想,農産物・果実; 清酒; 味噌; アルコール飲料; 酵母・微生物,醸造工程・製造技術; 品質評価・官能評価; 応用利用・食品開発,農産物・果実:α化米|蒸米工程|米穀|蒸米|米麹|米麹; 清酒:製麹|製麹|米麹|製麹|米麹; 味噌:味噌醸造|減塩味噌|味噌醸造|減塩味噌; アルコール飲料:エタノール|アルコール|エタノール|アルコール; 酵母・微生物:酵母|酵母|酵母,醸造工程・製造技術:味噌醸造|製麹|発酵促進|蒸米工程|蒸米|製麹; 品質評価・官能評価:品質|品質; 応用利用・食品開発:技術開発|技術開発
8,日本醸造協会誌/83巻/1号/83_37.pdf,1988,83,1,37,37,久須美酒造,國府田 宏行,83_37.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_37/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_37/_pdf/-char/ja,/Users/yoichiro/Desktop/PDFキーワード/pdfs/日本醸造協会誌/83巻/1号/83_37.pdf,1,久須美家; 酒造り; 天保の飢饉; 湧水; 横井戸; 清水; 老杉; 酒の香地; 猿酒; 米,久須美; 酒造り; 十郎; 和島; 湧水; 新潟; 賞牌; 系図; 清泉; 三島; ンフランシスコ; 河津; 太古; 言い残し; 丘陵; 兄弟; 出雲崎; 日野浦; 果てる; 老杉,思い立っ; 天保; 博覧; 遺れ; 村び; 討っ; 長岡; 清水; 討た; 國府田; 井戸; 逃れる; 富士野; 創め; 名乗る; 言ひ; 言い伝え; 二階堂; 為す; 来り,久須美家; 酒造り; 天保の飢饉; 湧水; 横井戸; 清水; 老杉; 酒の香地; 猿酒; 米; 久須美; 十郎; 和島; 新潟; 賞牌; 系図; 清泉; 三島; ンフランシスコ; 河津; 太古; 言い残し; 丘陵; 兄弟; 出雲崎; 日野浦; 果てる; 思い立っ; 天保; 博覧; 遺れ; 村び; 討っ; 長岡; 討た; 國府田; 井戸; 逃れる; 富士野; 創め; 名乗る; 言ひ; 言い伝え; 二階堂; 為す; 来り,清酒; 農産物・果実,その他（研究タイプ）,清酒:酒造り|酒造り|酒造り; 農産物・果実:米|米,
9,日本醸造協会誌/83巻/1号/83_38.pdf,1988,83,1,38,39,モノクロナール抗体について,後藤 邦康,83_38.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_38/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_38/_pdf/-char/ja,/Users/yoichiro/Desktop/PDFキーワード/pdfs/日本醸造協会誌/83巻/1号/83_38.pdf,2,モノクρナル抗体; 抗体; 抗原; リンパ球; 免疫グロブリン; 免疫; 動物; 病気; 治癒; 生体防御機構,抗体; リンパ; 抗原; ナル; 免疫; モノ; 異物; 動物; 細胞; ガン; モノクロナール; つくり出す; ポリク; 病気; 永遠; ィクロマトグラフ; ナノ; 寿命; アフィニテ; 繰り返す,作る; 組合せ; 持っ; 特異; マウス; 融合; 獲ら; 呼ば; 組み替え; 呼べ; 振り返り; 苦しむ; 治癒; 酵母; 反応; ンパ; グロブリン; 引金; 全う; 作成,モノクρナル抗体; 抗体; 抗原; リンパ球; 免疫グロブリン; 免疫; 動物; 病気; 治癒; 生体防御機構; リンパ; ナル; モノ; 異物; 細胞; ガン; モノクロナール; つくり出す; ポリク; 永遠; ィクロマトグラフ; ナノ; 寿命; アフィニテ; 繰り返す; 作る; 組合せ; 持っ; 特異; マウス; 融合; 獲ら; 呼ば; 組み替え; 呼べ; 振り返り; 苦しむ; 酵母; 反応; ンパ; グロブリン; 引金; 全う; 作成,酵母・微生物,健康機能・栄養効果,酵母・微生物:細胞|酵母|細胞|酵母,健康機能・栄養効果:免疫グロブリン|免疫|免疫|免疫グロブリン|免疫
10,日本醸造協会誌/83巻/1号/83_40.pdf,1988,83,1,40,41,市販清酒の甘辛度の県別比較,高宮 義治,83_40.pdf,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_40/_article/-char/ja,https://www.jstage.jst.go.jp/article/jbrewsocjapan1988/83/1/83_1_40/_pdf/-char/ja,/Users/yoichiro/Desktop/PDFキーワード/pdfs/日本醸造協会誌/83巻/1号/83_40.pdf,2,市販清酒; 甘辛度; 県別比較; 地域差; 嗜好品; 酒質; 調査; 辛口傾向; 甘口傾向; 製品,地域; 甘辛; 移出; メーカー; 酒質; 調査; 製品; 辺ぴ; 全国; 挾ん; 平均; 甘口; 課税; 顧み; 辛口; 西端; 戸内; 数量; 見受; 運輸,南国; 醸界; 左図; 累計; 高宮; 随分; 濃く; 好き; 各県; 変わっ; 義治; 個性; 交通; 愛飲; 高知; 甘い; 長崎; 対象; 佐賀; 富山,市販清酒; 甘辛度; 県別比較; 地域差; 嗜好品; 酒質; 調査; 辛口傾向; 甘口傾向; 製品; 地域; 甘辛; 移出; メーカー; 辺ぴ; 全国; 挾ん; 平均; 甘口; 課税; 顧み; 辛口; 西端; 戸内; 数量; 見受; 運輸; 南国; 醸界; 左図; 累計; 高宮; 随分; 濃く; 好き; 各県; 変わっ; 義治; 個性; 交通; 愛飲; 高知; 甘い; 長崎; 対象; 佐賀; 富山,清酒,その他（研究タイプ）,清酒:市販清酒|市販清酒,
